geoid,state,district,0-18,0-18_moe,state_0-18,state_0-18_moe,country_0-18,country_0-18_moe,ratio_state_0-18,ratio_state_0-18_moe,ratio_country_0-18,ratio_country_0-18_moe,18-64,18-64_moe,state_18-64,state_18-64_moe,country_18-64,country_18-64_moe,ratio_state_18-64,ratio_state_18-64_moe,ratio_country_18-64,ratio_country_18-64_moe,65+,65+_moe,state_65+,state_65+_moe,country_65+,country_65+_moe,ratio_state_65+,ratio_state_65+_moe,ratio_country_65+,ratio_country_65+_moe
50000US1211,Florida,11,15.37,0.69,20.11,0.11,22.79,0.03,0.7642963699651915,0.07698615232443125,0.6744186046511628,0.06232854662992564,48.12,1.01,60.04,0.19,61.98,0.04,0.8014656895403064,0.03871719256079209,0.7763794772507261,0.033593275659616714,36.5,0.96,19.85,0.13,15.23,0.03,1.8387909319899243,0.12081554170803664,2.396585686145765,0.13550907084224323
50000US1217,Florida,17,17.29,0.73,20.11,0.11,22.79,0.03,0.8597712580805569,0.08200890207715134,0.7586660816147432,0.06606066580513192,51.97,1.11,60.04,0.19,61.98,0.04,0.8655896069287142,0.042454190154671646,0.8384962891255244,0.03690030099553334,30.74,0.85,19.85,0.13,15.23,0.03,1.5486146095717883,0.1059309816916308,2.0183847669074195,0.1195738773539353
50000US1219,Florida,19,17.52,0.53,20.11,0.11,22.79,0.03,0.8712083540527101,0.06224282888229476,0.7687582272926722,0.04853564766823417,52.66,0.82,60.04,0.19,61.98,0.04,0.8770819453697535,0.03286660394414005,0.8496289125524362,0.02755680904125733,29.82,0.85,19.85,0.13,15.23,0.03,1.5022670025188916,0.10532388372144966,1.9579776756401839,0.11933589708215495
50000US0404,Arizona,4,18.88,0.71,23.54,0.17,22.79,0.03,0.8020390824129142,0.07191085695846638,0.8284335234752084,0.06448918640418096,53.58,0.84,59.58,0.29,61.98,0.04,0.8992950654582075,0.03695272404315157,0.8644724104549855,0.02822133787292672,27.54,0.7,16.88,0.19,15.23,0.03,1.6315165876777251,0.11968200582453457,1.8082731451083387,0.09904807891287852
50000US1216,Florida,16,19.17,0.69,20.11,0.11,22.79,0.03,0.9532570860268524,0.07905341246290801,0.8411584028082494,0.06276752886885828,54.88,0.83,60.04,0.19,61.98,0.04,0.9140572951365756,0.03343374208391641,0.8854469183607616,0.027925725627061884,25.95,0.69,19.85,0.13,15.23,0.03,1.3073047858942064,0.08664851464040105,1.7038739330269204,0.09732358418983236
50000US1221,Florida,21,19.18,0.68,20.11,0.11,22.79,0.03,0.9537543510691199,0.07806429277942632,0.8415971917507679,0.061891104679550675,55.67,0.78,60.04,0.19,61.98,0.04,0.9272151898734178,0.0318514477571426,0.8981929654727332,0.026328753096301394,25.15,0.68,19.85,0.13,15.23,0.03,1.2670025188916876,0.08511300347000145,1.6513460275771503,0.09580344209146721
50000US1218,Florida,18,18.97,0.72,20.11,0.11,22.79,0.03,0.9433117851815017,0.08192828882294757,0.8323826239578762,0.06537716275767101,55.89,1.2,60.04,0.19,61.98,0.04,0.9308794137241839,0.04586545227421867,0.9017424975798646,0.03988609921679936,25.13,0.84,19.85,0.13,15.23,0.03,1.2659949622166244,0.10122140395974066,1.650032829940906,0.11680951231289233
50000US1206,Florida,6,18.03,0.62,20.11,0.11,22.79,0.03,0.8965688712083542,0.07147131552917903,0.7911364633611234,0.05649277835709742,56.89,0.74,60.04,0.19,61.98,0.04,0.9475349766822119,0.030647596910256716,0.9178767344304615,0.02506342022847838,25.07,0.69,19.85,0.13,15.23,0.03,1.2629722921914357,0.08606781223414084,1.6460932370321733,0.09709595088639028
50000US1208,Florida,8,18.14,0.67,20.11,0.11,22.79,0.03,0.902038786673297,0.07650395647873394,0.7959631417288285,0.06089338276632745,57.04,1.15,60.04,0.19,61.98,0.04,0.950033311125916,0.04432110771144475,0.920296869958051,0.038296623720805424,24.82,0.79,19.85,0.13,15.23,0.03,1.2503778337531486,0.0959788388794474,1.62967826657912,0.11016330965027248
50000US1212,Florida,12,19.01,0.61,20.11,0.11,22.79,0.03,0.9453008453505719,0.07100989119683482,0.834137779727951,0.05572841016035944,56.48,0.86,60.04,0.19,61.98,0.04,0.9407061958694204,0.03460175148702461,0.9112616973217167,0.028927100395812203,24.52,0.68,19.85,0.13,15.23,0.03,1.235264483627204,0.08469727333824698,1.6099803020354562,0.09564047734013935
