geoid,state,district,high_school_grad_or_higher,high_school_grad_or_higher_moe,state_high_school_grad_or_higher,state_high_school_grad_or_higher_moe,country_high_school_grad_or_higher,country_high_school_grad_or_higher_moe,ratio_state_high_school_grad_or_higher,ratio_state_high_school_grad_or_higher_moe,ratio_country_high_school_grad_or_higher,ratio_country_high_school_grad_or_higher_moe,bachelor_degree_or_higher,bachelor_degree_or_higher_moe,state_bachelor_degree_or_higher,state_bachelor_degree_or_higher_moe,country_bachelor_degree_or_higher,country_bachelor_degree_or_higher_moe,ratio_state_bachelor_degree_or_higher,ratio_state_bachelor_degree_or_higher_moe,ratio_country_bachelor_degree_or_higher,ratio_country_bachelor_degree_or_higher_moe
50000US3612,New York,12,93.38,1.14,86.32,0.36,87.45,0.1,1.0817886932344765,0.03543722270883765,1.0678101772441395,0.02851418291681881,72.17,1.37,35.65,0.24,31.28,0.06,2.024403927068724,0.10412011536395412,2.3072250639386187,0.09644750983918397
50000US0633,California,33,95.71,1.16,82.44,0.27,87.45,0.1,1.160965550703542,0.035746640070354954,1.0944539736992567,0.029032522751738555,65.38,1.23,32.92,0.16,31.28,0.06,1.9860267314702307,0.09403407287325061,2.090153452685422,0.08666331164835919
50000US5108,Virginia,8,90.7,1.52,89.26,0.59,87.45,0.1,1.016132646202106,0.04749296143422627,1.0371640937678674,0.03713478633682871,61.76,1.16,38.08,0.36,31.28,0.06,1.6218487394957983,0.09159776346440114,1.9744245524296673,0.08174361745923181
50000US0618,California,18,93.21,0.87,82.44,0.27,87.45,0.1,1.1306404657933042,0.028512506848047053,1.0658662092624356,0.022334771822267233,61.53,1.0,32.92,0.16,31.28,0.06,1.8690765492102066,0.07892362910500758,1.967071611253197,0.07148519247271254
50000US5307,Washington,7,94.81,1.35,90.82,0.61,87.45,0.1,1.0439330543933056,0.04375443287063013,1.0841623785020011,0.03335433150146927,61.01,1.27,35.14,0.37,31.28,0.06,1.7361980648833237,0.10885630777850859,1.9504475703324806,0.08868490777310864
50000US1306,Georgia,6,93.17,1.53,86.4,0.55,87.45,0.1,1.0783564814814814,0.049147733837754774,1.0654088050314465,0.03742808508802069,60.59,1.32,30.45,0.31,31.28,0.06,1.9898193760262728,0.12722789962403452,1.9370204603580563,0.09183033964041343
50000US3610,New York,10,88.74,0.85,86.32,0.36,87.45,0.1,1.028035217794254,0.02826955283179758,1.0147512864493995,0.021760465930499438,60.26,1.3,35.65,0.24,31.28,0.06,1.6903225806451614,0.09569451481428122,1.926470588235294,0.0905110897527357
50000US0612,California,12,88.28,1.67,82.44,0.27,87.45,0.1,1.0708393983503155,0.047529055119809864,1.0094911377930245,0.04050203383658107,59.48,1.33,32.92,0.16,31.28,0.06,1.806804374240583,0.09836737224887165,1.9015345268542199,0.09233359238653407
50000US0652,California,52,95.29,0.64,82.44,0.27,87.45,0.1,1.1558709364386222,0.02309789823719318,1.089651229273871,0.017129013202693562,57.41,1.23,32.92,0.16,31.28,0.06,1.7439246658566219,0.09168065576771743,1.8353580562659846,0.08568583210654404
50000US2505,Massachusetts,5,93.21,1.62,90.42,0.59,87.45,0.1,1.03085600530856,0.0492877663669315,1.0658662092624356,0.03948745291348766,57.36,1.26,42.74,0.37,31.28,0.06,1.3420683200748713,0.08220388074767651,1.8337595907928388,0.08759786548883994
50000US0617,California,17,91.13,1.26,82.44,0.27,87.45,0.1,1.1054099951479863,0.03780876796333619,1.0420811892510005,0.031199769074634592,57.02,1.04,32.92,0.16,31.28,0.06,1.7320777642770353,0.08002208727722633,1.8228900255754477,0.07348961831692823
50000US1198,District of Columbia,0,90.47,2.02,90.47,2.02,87.45,0.1,1.0,0.08935592077514255,1.0345340194396797,0.04856389202081597,56.83,1.52,56.83,1.52,31.28,0.06,1.0,0.10706233634928594,1.8168158567774935,0.10415696579884524
50000US0645,California,45,94.35,1.78,82.44,0.27,87.45,0.1,1.1444687045123727,0.050679984421479245,1.078902229845626,0.043176505240116285,55.95,1.43,32.92,0.16,31.28,0.06,1.6995747266099634,0.10340049578259977,1.7886828644501278,0.09829454144517345
50000US2408,Maryland,8,91.94,1.24,90.12,0.69,87.45,0.1,1.0201952951620061,0.04314355784336291,1.0513436249285306,0.030763547659575997,55.6,1.11,39.32,0.43,31.28,0.06,1.4140386571719228,0.08739786949483384,1.7774936061381075,0.07779118240683998
50000US5111,Virginia,11,90.73,1.39,89.26,0.59,87.45,0.1,1.0164687429979835,0.04458443859573481,1.0375071469411092,0.03416243951857423,55.48,1.1,38.08,0.36,31.28,0.06,1.4569327731092436,0.08532778355879292,1.7736572890025575,0.0771370764817441
50000US1705,Illinois,5,92.24,0.96,88.85,0.45,87.45,0.1,1.0381541924592008,0.03212619012632187,1.054774156660949,0.02436772576109097,54.69,1.06,33.96,0.27,31.28,0.06,1.6104240282685511,0.08803939824595496,1.748401534526854,0.0744826328744644
50000US3704,North Carolina,4,92.29,1.72,87.3,0.53,87.45,0.1,1.0571592210767469,0.05224234675169199,1.0553459119496855,0.04175041688501166,54.45,1.35,30.41,0.3,31.28,0.06,1.790529431108188,0.12412643924410019,1.7407289002557544,0.09299546581949047
