geoid,state,district,population,population_density,square_miles
50000US3613,New York,13,812752,79991.1,10.2
50000US3615,New York,15,768801,52959.7,14.5
50000US3610,New York,10,708960,50474.6,14.0
50000US3612,New York,12,715471,48368.8,14.8
50000US3609,New York,9,738674,47511.5,15.5
50000US3607,New York,7,763468,47298.8,16.1
50000US3608,New York,8,771711,26740.8,28.9
50000US3606,New York,6,753744,25298.2,29.8
50000US3614,New York,14,691715,24300.0,28.5
50000US0612,California,12,756991,19395.2,39.0
50000US0634,California,34,758622,15914.7,47.7
50000US3605,New York,5,794154,15289.8,51.9
50000US3408,New Jersey,8,778294,14230.7,54.7
50000US1704,Illinois,4,695098,13260.1,52.4
50000US0637,California,37,729010,13191.5,55.3
50000US0640,California,40,723345,12539.2,57.7
50000US2507,Massachusetts,7,779173,12423.4,62.7
50000US1707,Illinois,7,723481,11605.9,62.3
50000US3611,New York,11,735452,11214.2,65.6
50000US1198,District of Columbia,0,681170,11140.2,61.1
50000US0646,California,46,736031,10267.0,71.7
50000US0643,California,43,724077,10051.2,72.0
50000US3410,New Jersey,10,758062,9996.3,75.8
50000US4202,Pennsylvania,2,711404,9595.2,74.1
50000US3616,New York,16,736806,9400.9,78.4
50000US4201,Pennsylvania,1,721901,9254.5,78.0
50000US0644,California,44,723685,9117.9,79.4
50000US3409,New Jersey,9,760005,7974.3,95.3
50000US0629,California,29,726264,7891.3,92.0
50000US0613,California,13,755243,7805.7,96.8
50000US1705,Illinois,5,723373,7564.3,95.6
50000US1224,Florida,24,749624,7319.9,102.4
50000US0638,California,38,708889,6990.3,101.4
50000US3201,Nevada,1,722331,6913.0,104.5
50000US1709,Illinois,9,724071,6870.9,105.4
50000US1227,Florida,27,747049,6597.0,113.2
50000US3604,New York,4,723377,6523.1,110.9
50000US0632,California,32,719488,5791.2,124.2
50000US0653,California,53,766812,5661.3,135.4
50000US0630,California,30,759943,5590.0,135.9
50000US5504,Wisconsin,4,713297,5551.9,128.5
50000US5307,Washington,7,766221,5319.6,144.0
50000US5108,Virginia,8,783079,5247.1,149.2
50000US2705,Minnesota,5,708082,5218.2,135.7
50000US0648,California,48,727100,4996.8,145.5
50000US4809,Texas,9,793923,4790.8,165.7
50000US0409,Arizona,9,784502,4766.0,164.6
50000US4807,Texas,7,770606,4755.1,162.1
50000US4213,Pennsylvania,13,731754,4715.9,155.2
50000US0635,California,35,744729,4409.5,168.9
50000US1222,Florida,22,737019,4406.3,167.3
50000US0606,California,6,763987,4363.1,175.1
50000US5111,Virginia,11,802910,4335.5,185.2
50000US0801,Colorado,1,812843,4279.1,190.0
50000US0617,California,17,774647,4178.5,185.4
50000US4829,Texas,29,765403,4092.0,187.1
50000US5309,Washington,9,739873,4030.7,183.6
50000US4832,Texas,32,753715,4029.4,187.1
50000US1213,Florida,13,728996,4010.9,181.8
50000US0407,Arizona,7,818387,3994.6,204.9
50000US1223,Florida,23,749377,3983.2,188.1
50000US4820,Texas,20,791141,3961.9,199.7
50000US3602,New York,2,714040,3929.8,181.7
50000US2609,Michigan,9,711069,3871.8,183.7
50000US2614,Michigan,14,701353,3777.2,185.7
50000US4833,Texas,33,764730,3607.6,212.0
50000US0639,California,39,729909,3571.0,204.4
50000US2613,Michigan,13,658383,3561.5,184.9
50000US1708,Illinois,8,717789,3490.9,205.6
50000US3406,New Jersey,6,750419,3485.7,215.3
50000US3903,Ohio,3,787306,3452.4,228.0
50000US0631,California,31,742627,3402.7,218.2
50000US1501,Hawaii,1,706501,3379.6,209.0
50000US4818,Texas,18,787352,3346.6,235.3
50000US4214,Pennsylvania,14,696529,3328.1,209.3
50000US0647,California,47,714311,3302.9,216.3
50000US2901,Missouri,1,735410,3263.5,225.3
50000US0628,California,28,709613,3248.3,218.5
50000US3626,New York,26,709220,3236.5,219.1
50000US1703,Illinois,3,720930,3040.8,237.1
50000US4824,Texas,24,790319,3007.2,262.8
50000US1221,Florida,21,758201,2948.7,257.1
50000US0614,California,14,749041,2885.2,259.6
50000US3603,New York,3,732591,2873.5,254.9
50000US2505,Massachusetts,5,759165,2863.8,265.1
50000US3911,Ohio,11,692226,2830.9,244.5
50000US1305,Georgia,5,747809,2822.4,265.0
50000US0652,California,52,750537,2811.0,267.0
50000US1214,Florida,14,769968,2790.8,275.9
50000US1701,Illinois,1,691474,2675.7,258.4
50000US0405,Arizona,5,785110,2675.3,293.5
50000US1711,Illinois,11,730480,2600.5,280.9
50000US2404,Maryland,4,755108,2535.4,297.8
50000US1306,Georgia,6,756004,2529.1,298.9
50000US4802,Texas,2,779662,2525.0,308.8
50000US2403,Maryland,3,764166,2509.9,304.5
50000US1807,Indiana,7,751554,2472.9,303.9
50000US0633,California,33,712919,2470.3,288.6
50000US0641,California,41,760165,2400.8,316.6
50000US2508,Massachusetts,8,773806,2371.0,326.4
