geoid,state,district,non_english_at_home,non_english_at_home_moe,children_english,children_english_moe,state_children_english,state_children_english_moe,country_children_english,country_children_english_moe,ratio_state_children_english,ratio_state_children_english_moe,ratio_country_children_english,ratio_country_children_english_moe,children_spanish,children_spanish_moe,state_children_spanish,state_children_spanish_moe,country_children_spanish,country_children_spanish_moe,ratio_state_children_spanish,ratio_state_children_spanish_moe,ratio_country_children_spanish,ratio_country_children_spanish_moe,children_indoeuropean,children_indoeuropean_moe,state_children_indoeuropean,state_children_indoeuropean_moe,country_children_indoeuropean,country_children_indoeuropean_moe,ratio_state_children_indoeuropean,ratio_state_children_indoeuropean_moe,ratio_country_children_indoeuropean,ratio_country_children_indoeuropean_moe,children_asian_islander,children_asian_islander_moe,state_children_asian_islander,state_children_asian_islander_moe,country_children_asian_islander,country_children_asian_islander_moe,ratio_state_children_asian_islander,ratio_state_children_asian_islander_moe,ratio_country_children_asian_islander,ratio_country_children_asian_islander_moe,children_other,children_other_moe,state_children_other,state_children_other_moe,country_children_other,country_children_other_moe,ratio_state_children_other,ratio_state_children_other_moe,ratio_country_children_other,ratio_country_children_other_moe,adults_english,adults_english_moe,state_adults_english,state_adults_english_moe,country_adults_english,country_adults_english_moe,ratio_state_adults_english,ratio_state_adults_english_moe,ratio_country_adults_english,ratio_country_adults_english_moe,adults_spanish,adults_spanish_moe,state_adults_spanish,state_adults_spanish_moe,country_adults_spanish,country_adults_spanish_moe,ratio_state_adults_spanish,ratio_state_adults_spanish_moe,ratio_country_adults_spanish,ratio_country_adults_spanish_moe,adults_indoeuropean,adults_indoeuropean_moe,state_adults_indoeuropean,state_adults_indoeuropean_moe,country_adults_indoeuropean,country_adults_indoeuropean_moe,ratio_state_adults_indoeuropean,ratio_state_adults_indoeuropean_moe,ratio_country_adults_indoeuropean,ratio_country_adults_indoeuropean_moe,adults_asian_islander,adults_asian_islander_moe,state_adults_asian_islander,state_adults_asian_islander_moe,country_adults_asian_islander,country_adults_asian_islander_moe,ratio_state_adults_asian_islander,ratio_state_adults_asian_islander_moe,ratio_country_adults_asian_islander,ratio_country_adults_asian_islander_moe,adults_other,adults_other_moe,state_adults_other,state_adults_other_moe,country_adults_other,country_adults_other_moe,ratio_state_adults_other,ratio_state_adults_other_moe,ratio_country_adults_other,ratio_country_adults_other_moe
50000US0640,California,40,83.19,0.51,19.18,2.29,55.81,0.39,77.54,0.09,0.34366600967568534,0.08687146102682716,0.24735620324993549,0.05964057707985114,79.6,2.4,34.72,0.37,16.14,0.08,2.292626728110599,0.18713368783867473,4.931846344485749,0.3462969474826981,0.05,0.05,2.79,0.14,2.78,0.04,0.017921146953405017,0.03773584905660377,0.01798561151079137,0.03649635036496351,0.39,0.28,5.73,0.15,2.43,0.04,0.06806282722513089,0.10136420159461636,0.16049382716049382,0.23580031507800722,0.77,0.44,0.94,0.1,1.11,0.03,0.8191489361702128,1.1231684981684982,0.6936936936936936,0.8308966861598439,14.67,1.02,55.34,0.15,78.59,0.05,0.26508854354897,0.03830036384408507,0.18666497009797683,0.026195029015027817,81.68,1.44,27.78,0.11,12.75,0.03,2.940244780417567,0.12695857272938255,6.406274509803922,0.2560309445773172,0.64,0.24,4.89,0.08,3.84,0.03,0.130879345603272,0.10246928556787713,0.16666666666666669,0.1276119554823089,2.45,0.52,10.91,0.07,3.73,0.02,0.2245646196150321,0.0982111050618703,0.6568364611260055,0.2858724168912848,0.56,0.21,1.08,0.04,1.1,0.02,0.5185185185185185,0.42788461538461536,0.5090909090909091,0.4004629629629629
50000US1225,Florida,25,77.01,0.59,20.75,2.96,71.46,0.51,77.54,0.09,0.29037223621606495,0.08699267165876316,0.26760381738457567,0.0769690060289132,76.81,2.88,22.26,0.39,16.14,0.08,3.4505840071877807,0.3797866380811356,4.758983890954151,0.4040642903538364,1.91,0.87,4.46,0.29,2.78,0.04,0.42825112107623314,0.447719298245614,0.6870503597122303,0.6458042139048507,0.43,0.37,1.2,0.13,2.43,0.04,0.35833333333333334,0.7025507694469819,0.17695473251028807,0.3104365354970948,0.1,0.16,0.63,0.12,1.11,0.03,0.15873015873015875,0.5898039215686274,0.09009009009009009,0.2933723196881091,21.69,1.14,71.18,0.2,78.59,0.05,0.3047204270862602,0.033744129439971834,0.2759893116172541,0.029362512599601938,74.0,0.94,21.1,0.13,12.75,0.03,3.5071090047393363,0.13232011008256866,5.803921568627451,0.1747645200342516,3.26,0.7,5.38,0.15,3.84,0.03,0.6059479553903345,0.2942406964964266,0.8489583333333333,0.3778713707298215,0.75,0.23,1.66,0.06,3.73,0.02,0.45180722891566266,0.31017441860465117,0.20107238605898123,0.12548427672955975,0.3,0.14,0.68,0.05,1.1,0.02,0.4411764705882352,0.47923461622091756,0.2727272727272727,0.26455026455026454
50000US0634,California,34,75.51,2.11,23.05,2.89,55.81,0.39,77.54,0.09,0.4130084214298513,0.1093432102443842,0.29726592726334794,0.07523234106066859,69.49,3.01,34.72,0.37,16.14,0.08,2.0014400921658986,0.21606905594804457,4.30545229244114,0.41567764532816964,0.81,0.53,2.79,0.14,2.78,0.04,0.2903225806451613,0.4100972374267499,0.29136690647482016,0.389760314748667,6.5,1.41,5.73,0.15,2.43,0.04,1.1343804537521813,0.5519164655109355,2.674897119341564,1.2488946860230719,0.15,0.17,0.94,0.1,1.11,0.03,0.1595744680851064,0.40018315018315026,0.13513513513513511,0.3138401559454191,24.75,1.01,55.34,0.15,78.59,0.05,0.4472352728586917,0.03892638974435567,0.3149255630487339,0.026103745854209617,54.11,1.64,27.78,0.11,12.75,0.03,1.9478041756659465,0.13349802252459872,4.243921568627451,0.2772278324032244,1.98,0.32,4.89,0.08,3.84,0.03,0.40490797546012275,0.144166454025609,0.515625,0.17473397220696246,18.47,1.11,10.91,0.07,3.73,0.02,1.692942254812099,0.22521659642825936,4.951742627345844,0.6482946990116802,0.68,0.25,1.08,0.04,1.1,0.02,0.6296296296296297,0.5103021978021978,0.6181818181818182,0.47718253968253965
50000US0629,California,29,74.26,0.65,27.4,2.46,55.81,0.39,77.54,0.09,0.4909514423938362,0.09502241697499907,0.35336600464276496,0.06427150625199221,65.25,2.18,34.72,0.37,16.14,0.08,1.879320276497696,0.16564948605851537,4.0427509293680295,0.31022076583956887,4.0,1.05,2.79,0.14,2.78,0.04,1.4336917562724014,0.8988344387919376,1.4388489208633095,0.7969664026505152,2.59,0.77,5.73,0.15,2.43,0.04,0.4520069808027923,0.2926267281105991,1.0658436213991769,0.6690156353226161,0.77,0.75,0.94,0.1,1.11,0.03,0.8191489361702128,1.7902930402930406,0.6936936936936936,1.3898635477582844,25.97,0.98,55.34,0.15,78.59,0.05,0.4692808095410191,0.03796168553000168,0.3304491665606311,0.025360042287515212,59.3,1.58,27.78,0.11,12.75,0.03,2.134629229661627,0.1306578596305404,4.650980392156862,0.2697315971299495,7.38,0.85,4.89,0.08,3.84,0.03,1.5092024539877302,0.39713541121991824,1.921875,0.47276648558465073,6.8,0.65,10.91,0.07,3.73,0.02,0.6232813932172319,0.1271600830762406,1.8230563002680964,0.36808625336927225,0.56,0.15,1.08,0.04,1.1,0.02,0.5185185185185185,0.3166208791208791,0.5090909090909091,0.29133597883597884
50000US1227,Florida,27,73.72,0.69,30.42,3.48,71.46,0.51,77.54,0.09,0.42569269521410585,0.10347863406793001,0.39231364457054424,0.09067095599318312,63.52,3.0,22.26,0.39,16.14,0.08,2.853548966756514,0.3696448308336134,3.935563816604709,0.41077156716566876,4.21,1.41,4.46,0.29,2.78,0.04,0.9439461883408071,0.75824813833144,1.5143884892086332,1.0581870890925091,1.26,0.59,1.2,0.13,2.43,0.04,1.05,1.2252125641205818,0.5185185185185185,0.5028035166771128,0.59,0.53,0.63,0.12,1.11,0.03,0.9365079365079364,2.116078431372549,0.5315315315315314,0.9844054580896685,25.12,1.04,71.18,0.2,78.59,0.05,0.35290812025849955,0.031205124810314795,0.31963354116299786,0.026873192632273477,68.75,1.42,21.1,0.13,12.75,0.03,3.258293838862559,0.17475338229635634,5.392156862745098,0.24812132754598873,4.38,0.51,5.38,0.15,3.84,0.03,0.8141263940520446,0.23517127159695594,1.140625,0.28346456692913385,1.24,0.32,1.66,0.06,3.73,0.02,0.746987951807229,0.4401162790697675,0.3324396782841823,0.175151841868823,0.52,0.15,0.68,0.05,1.1,0.02,0.7647058823529411,0.5566427484235702,0.4727272727272727,0.29001322751322745
50000US4815,Texas,15,71.57,0.58,36.17,2.93,64.35,0.43,77.54,0.09,0.5620823620823622,0.09858079391459146,0.46646891926747486,0.07665685340743743,63.03,3.27,31.37,0.38,16.14,0.08,2.009244501115716,0.25719508197970903,3.9052044609665426,0.4439286706908279,0.41,0.27,1.45,0.13,2.78,0.04,0.2827586206896552,0.42654392021480636,0.1474820143884892,0.19852979241082988,0.4,0.42,2.1,0.11,2.43,0.04,0.19047619047619047,0.42111007526319383,0.1646090534979424,0.35119340030152624,0.0,0.0,0.73,0.11,1.11,0.03,0.0,0.0,0.0,0.0,25.17,0.92,64.35,0.15,78.59,0.05,0.3911421911421912,0.03041730058682895,0.32026975442168215,0.023820177289449025,72.92,1.32,29.17,0.12,12.75,0.03,2.4998285910181695,0.1110734896861993,5.71921568627451,0.23397407505831638,0.59,0.25,2.33,0.08,3.84,0.03,0.25321888412017163,0.23225449515905947,0.15364583333333334,0.13261714378725914,1.14,0.29,3.17,0.07,3.73,0.02,0.35962145110410093,0.19894464356829944,0.30563002680965146,0.1587780772686433,0.18,0.12,0.98,0.06,1.1,0.02,0.1836734693877551,0.2683946488294314,0.1636363636363636,0.22420634920634916
50000US0646,California,46,70.92,0.63,24.46,2.25,55.81,0.39,77.54,0.09,0.4382727109836947,0.08676024303571175,0.3154500902759866,0.0587669223003925,68.16,3.19,34.72,0.37,16.14,0.08,1.9631336405529953,0.22562236511395317,4.223048327137546,0.43716611412505196,0.54,0.35,2.79,0.14,2.78,0.04,0.19354838709677422,0.271002640221521,0.19424460431654678,0.2574416317233525,6.02,1.2,5.73,0.15,2.43,0.04,1.0506108202443278,0.4741789188793797,2.4773662551440325,1.069503498043467,0.83,0.55,0.94,0.1,1.11,0.03,0.8829787234042553,1.3736263736263736,0.7477477477477477,1.0321637426900585,30.42,1.32,55.34,0.15,78.59,0.05,0.5496928080954102,0.05068537134010197,0.3870721465835348,0.03408459471830904,55.1,1.47,27.78,0.11,12.75,0.03,1.9834413246940243,0.1215410378140257,4.32156862745098,0.25092641804706645,1.5,0.38,4.89,0.08,3.84,0.03,0.3067484662576687,0.16550027817633453,0.390625,0.20403263545545178,11.79,1.06,10.91,0.07,3.73,0.02,1.0806599450045828,0.20819302455319635,3.1608579088471846,0.6022785265049416,1.2,0.42,1.08,0.04,1.1,0.02,1.111111111111111,0.8612637362637363,1.0909090909090908,0.8035714285714285
50000US1226,Florida,26,70.63,0.78,34.57,3.0,71.46,0.51,77.54,0.09,0.48376714245731883,0.09087284136771812,0.44583440804745933,0.07841447491356882,62.53,3.08,22.26,0.39,16.14,0.08,2.8090745732255167,0.37527593818984545,3.8742255266418835,0.42007699241285373,1.96,0.88,4.46,0.29,2.78,0.04,0.43946188340807174,0.45368673482266814,0.7050359712230216,0.6535176269607081,0.84,0.49,1.2,0.13,2.43,0.04,0.7,0.9798327594687652,0.345679012345679,0.414784950790236,0.1,0.12,0.63,0.12,1.11,0.03,0.15873015873015875,0.4580392156862745,0.09009009009009009,0.22124756335282647,27.96,1.15,71.18,0.2,78.59,0.05,0.3928069682495083,0.03452012062482566,0.3557704542562667,0.029718513688653116,68.28,1.44,21.1,0.13,12.75,0.03,3.2360189573459714,0.17637470122515378,5.355294117647059,0.2510851271148906,2.3,0.42,5.38,0.15,3.84,0.03,0.4275092936802974,0.18011264820084433,0.5989583333333333,0.22812264745976518,1.15,0.33,1.66,0.06,3.73,0.02,0.6927710843373494,0.44825581395348835,0.30831099195710454,0.18025516621743037,0.31,0.12,0.68,0.05,1.1,0.02,0.45588235294117646,0.42226570993694273,0.2818181818181818,0.228505291005291
50000US4816,Texas,16,69.82,0.62,35.83,2.73,64.35,0.43,77.54,0.09,0.5567987567987568,0.09229389469161244,0.4620840856332215,0.07148803976286845,62.49,3.25,31.37,0.38,16.14,0.08,1.992030602486452,0.2555026894629459,3.8717472118959106,0.44111861653202455,0.52,0.42,1.45,0.13,2.78,0.04,0.35862068965517246,0.6488300728807058,0.18705035971223025,0.30760470052285555,1.1,0.71,2.1,0.11,2.43,0.04,0.5238095238095238,0.7330771504581731,0.45267489711934156,0.5994274388901123,0.05,0.09,0.73,0.11,1.11,0.03,0.06849315068493152,0.27342549923195086,0.04504504504504504,0.1647173489278752,28.3,1.24,64.35,0.15,78.59,0.05,0.4397824397824398,0.04058972687097008,0.36009670441532,0.03201438718463433,69.23,1.27,29.17,0.12,12.75,0.03,2.373328762427151,0.10660444049034258,5.429803921568627,0.22476894912451645,0.86,0.26,2.33,0.08,3.84,0.03,0.3690987124463519,0.248815122176118,0.22395833333333334,0.13892449490325337,1.12,0.21,3.17,0.07,3.73,0.02,0.35331230283911674,0.14816806053365192,0.30026809651474534,0.11582389937106918,0.5,0.34,0.98,0.06,1.1,0.02,0.5102040816326531,0.7591973244147158,0.45454545454545453,0.6349206349206349
50000US0651,California,51,69.26,0.68,29.79,2.41,55.81,0.39,77.54,0.09,0.5337753090843934,0.09382907104723426,0.3841888057776631,0.06305339917123544,66.16,1.3,34.72,0.37,16.14,0.08,1.9055299539170507,0.11551116426340585,4.099132589838909,0.20173117762766934,0.39,0.41,2.79,0.14,2.78,0.04,0.13978494623655915,0.308712731019383,0.14028776978417268,0.29906300150126836,2.5,0.96,5.73,0.15,2.43,0.04,0.43630017452006975,0.35816692268305167,1.02880658436214,0.8242169633933563,1.17,0.79,0.94,0.1,1.11,0.03,1.2446808510638299,1.967948717948718,1.054054054054054,1.4814814814814814,29.7,1.17,55.34,0.15,78.59,0.05,0.53668232743043,0.04519376713044675,0.3779106756584807,0.03025565631783093,61.54,1.56,27.78,0.11,12.75,0.03,2.2152627789776815,0.12985652888244034,4.826666666666666,0.2674210883751144,0.67,0.18,4.89,0.08,3.84,0.03,0.13701431492842536,0.07812362741940207,0.17447916666666669,0.09648212578078902,7.41,0.91,10.91,0.07,3.73,0.02,0.6791934005499541,0.17554224722575096,1.9865951742627346,0.5092542677448338,0.68,0.26,1.08,0.04,1.1,0.02,0.6296296296296297,0.5288461538461539,0.6181818181818182,0.49537037037037035
