geoid,state,district,moved_since_previous_year,moved_since_previous_year_moe,state_moved_since_previous_year,state_moved_since_previous_year_moe,country_moved_since_previous_year,country_moved_since_previous_year_moe,ratio_state_moved_since_previous_year,ratio_state_moved_since_previous_year_moe,ratio_country_moved_since_previous_year,ratio_country_moved_since_previous_year_moe,same_house_year_ago,same_house_year_ago_moe,state_same_house_year_ago,state_same_house_year_ago_moe,country_same_house_year_ago,country_same_house_year_ago_moe,ratio_state_same_house_year_ago,ratio_state_same_house_year_ago_moe,ratio_country_same_house_year_ago,ratio_country_same_house_year_ago_moe,moved_same_county,moved_same_county_moe,state_moved_same_county,state_moved_same_county_moe,country_moved_same_county,country_moved_same_county_moe,ratio_state_moved_same_county,ratio_state_moved_same_county_moe,ratio_country_moved_same_county,ratio_country_moved_same_county_moe,moved_different_county,moved_different_county_moe,state_moved_different_county,state_moved_different_county_moe,country_moved_different_county,country_moved_different_county_moe,ratio_state_moved_different_county,ratio_state_moved_different_county_moe,ratio_country_moved_different_county,ratio_country_moved_different_county_moe,moved_different_state,moved_different_state_moe,state_moved_different_state,state_moved_different_state_moe,country_moved_different_state,country_moved_different_state_moe,ratio_state_moved_different_state,ratio_state_moved_different_state_moe,ratio_country_moved_different_state,ratio_country_moved_different_state_moe,moved_from_abroad,moved_from_abroad_moe,state_moved_from_abroad,state_moved_from_abroad_moe,country_moved_from_abroad,country_moved_from_abroad_moe,ratio_state_moved_from_abroad,ratio_state_moved_from_abroad_moe,ratio_country_moved_from_abroad,ratio_country_moved_from_abroad_moe
50000US1205,Florida,5,22.43,1.34,15.81,0.25,14.62,0.06,1.4187223276407337,0.21443446330758373,1.534199726402189,0.19590644369254728,77.57,1.42,84.19,0.24,85.38,0.06,0.9213683335312982,0.03898661923558866,0.9085265870227219,0.034539993520757276,14.5,1.15,8.69,0.19,8.32,0.05,1.6685845799769852,0.33779809220985696,1.7427884615384615,0.2974000251372798,4.75,0.52,3.01,0.1,3.25,0.03,1.5780730897009967,0.45086794621053916,1.4615384615384615,0.34701181639145584,2.57,0.47,2.97,0.11,2.36,0.02,0.8653198653198652,0.38111888111888104,1.0889830508474576,0.41679235796882863,0.62,0.27,1.14,0.08,0.69,0.01,0.543859649122807,0.5527373956077947,0.8985507246376813,0.8088235294117648
50000US3903,Ohio,3,22.29,1.36,15.03,0.28,14.62,0.06,1.4830339321357286,0.23630949086118522,1.524623803009576,0.19856386801209688,77.71,1.21,84.97,0.29,85.38,0.06,0.9145580793221136,0.034723761965816086,0.9101663152963223,0.029623110879333323,15.46,1.12,9.45,0.23,8.32,0.05,1.635978835978836,0.31685968340474363,1.8581730769230769,0.2915751106257015,3.5,0.55,3.46,0.13,3.25,0.03,1.0115606936416186,0.39448919671760896,1.0769230769230769,0.3583737312528405,2.51,0.51,1.7,0.08,2.36,0.02,1.476470588235294,0.7406020252462202,1.0635593220338984,0.45026215614450915,0.82,0.3,0.42,0.05,0.69,0.01,1.9523809523809523,1.9206440483036231,1.1884057971014492,0.904201680672269
50000US1305,Georgia,5,21.53,1.27,16.36,0.35,14.62,0.06,1.3160146699266504,0.2116622951469216,1.472640218878249,0.18582507410845286,78.47,1.05,83.64,0.32,85.38,0.06,0.9381874701099951,0.03228693818261994,0.9190676973530101,0.025887669421661746,10.77,0.89,7.79,0.23,8.32,0.05,1.3825417201540435,0.31040784282679545,1.2944711538461537,0.22950914404672643,5.86,0.8,4.89,0.2,3.25,0.03,1.1983640081799591,0.42593655354996,1.8030769230769232,0.5256400545371913,4.14,0.52,3.0,0.15,2.36,0.02,1.38,0.48588137009189647,1.7542372881355932,0.47044458809164696,0.77,0.19,0.68,0.08,0.69,0.01,1.1323529411764706,0.8368421052631578,1.1159420289855073,0.5831932773109245
50000US0802,Colorado,2,21.44,1.3,18.46,0.49,14.62,0.06,1.161430119176598,0.20264557023359073,1.4664842681258552,0.1898785819085547,78.56,1.32,81.54,0.51,85.38,0.06,0.9634535197449104,0.04443051651486201,0.920121808386039,0.032213820277395874,10.39,0.99,8.74,0.35,8.32,0.05,1.1887871853546912,0.32227322851474655,1.2487980769230769,0.2529994986990735,5.2,0.59,5.04,0.25,3.25,0.03,1.0317460317460319,0.33731269066383573,1.6,0.3926488410846842,5.12,0.58,4.08,0.22,2.36,0.02,1.2549019607843137,0.42086998433546213,2.169491525423729,0.5283344106873519,0.74,0.22,0.6,0.09,0.69,0.01,1.2333333333333334,1.1287297527706734,1.0724637681159421,0.6689075630252102
50000US4817,Texas,17,21.43,1.38,15.89,0.22,14.62,0.06,1.3486469477658904,0.2110791435872632,1.4658002735978113,0.20081706440698263,78.57,1.58,84.11,0.18,85.38,0.06,0.9341338723100701,0.041568234532454826,0.9202389318341532,0.038304407201968003,12.55,1.19,9.25,0.18,8.32,0.05,1.3567567567567569,0.3102182740345212,1.5084134615384617,0.3041986480766369,6.33,0.56,3.86,0.1,3.25,0.03,1.6398963730569949,0.3753761014399312,1.9476923076923076,0.3806052113316165,1.87,0.4,1.94,0.07,2.36,0.02,0.963917525773196,0.48256045973341855,0.7923728813559323,0.3524384112619407,0.68,0.24,0.85,0.05,0.69,0.01,0.8,0.6611111111111111,0.9855072463768118,0.7243697478991596
50000US0409,Arizona,9,21.31,1.28,18.46,0.44,14.62,0.06,1.1543878656554711,0.19381874343028616,1.457592339261286,0.18706957211725606,78.69,1.66,81.54,0.44,85.38,0.06,0.9650478292862398,0.05113273845926151,0.921644413211525,0.04018035867612741,15.17,1.08,11.85,0.36,8.32,0.05,1.280168776371308,0.26030112714185827,1.8233173076923077,0.28154042406880103,1.3,0.35,1.84,0.12,3.25,0.03,0.7065217391304348,0.474608448030375,0.4,0.22278821390698375,3.97,0.64,3.99,0.22,2.36,0.02,0.9949874686716792,0.4318377993535665,1.6822033898305087,0.5709258062199238,0.87,0.25,0.78,0.09,0.69,0.01,1.1153846153846154,0.9105447276361818,1.2608695652173914,0.761344537815126
50000US0805,Colorado,5,21.27,1.34,18.46,0.49,14.62,0.06,1.1522210184182013,0.20649308507436168,1.4548563611491108,0.19525518759169988,78.73,1.25,81.54,0.51,85.38,0.06,0.9655383860681873,0.04273958163417481,0.9221129070039823,0.030576889647434376,10.93,0.93,8.74,0.35,8.32,0.05,1.2505720823798627,0.3134775932897223,1.313701923076923,0.23935602334010883,2.45,0.47,5.04,0.25,3.25,0.03,0.48611111111111116,0.2353122249803663,0.7538461538461539,0.30317376155128006,6.68,0.78,4.08,0.22,2.36,0.02,1.6372549019607843,0.5605494637908183,2.830508474576271,0.7090425913955326,1.2,0.31,0.6,0.09,0.69,0.01,2.0,1.670929241261722,1.7391304347826089,0.9491596638655463
50000US4104,Oregon,4,21.19,1.28,18.37,0.54,14.62,0.06,1.1535111594991834,0.20735348507097262,1.4493844049247608,0.18700220079647875,78.81,1.24,81.63,0.47,85.38,0.06,0.9654538772510107,0.041499925861848516,0.9230498945888967,0.030343959554775937,13.37,1.06,10.41,0.41,8.32,0.05,1.2843419788664745,0.30529205175600743,1.6069711538461537,0.2741321498586389,3.54,0.48,3.85,0.26,3.25,0.03,0.9194805194805195,0.3752516113291177,1.0892307692307692,0.31552037570065145,3.83,0.49,3.44,0.22,2.36,0.02,1.1133720930232558,0.4290466008213692,1.6228813559322035,0.442792501616031,0.46,0.19,0.67,0.11,0.69,0.01,0.6865671641791045,0.8145604395604394,0.6666666666666667,0.5701680672268908
50000US3704,North Carolina,4,21.09,1.23,15.67,0.32,14.62,0.06,1.3458838544990428,0.21204539482127469,1.4425444596443229,0.18010599754468964,78.91,1.11,84.33,0.33,85.38,0.06,0.935728684928258,0.03364904998143836,0.9242211290700398,0.027300394549007834,11.31,0.91,8.04,0.23,8.32,0.05,1.4067164179104479,0.3071032549037216,1.359375,0.23509713247202027,4.86,0.66,3.83,0.16,3.25,0.03,1.2689295039164492,0.45145561451312205,1.4953846153846155,0.4337979094076655,3.71,0.41,3.3,0.14,2.36,0.02,1.1242424242424243,0.34449514277303506,1.5720338983050848,0.3741291388350212,1.22,0.34,0.5,0.06,0.69,0.01,2.44,1.9740259740259742,1.7681159420289856,1.0369747899159665
50000US4831,Texas,31,20.97,1.51,15.89,0.22,14.62,0.06,1.3196979232221522,0.22664300990676334,1.4343365253077975,0.2183429649369704,79.03,1.31,84.11,0.18,85.38,0.06,0.9396029009630247,0.03517144920621995,0.9256266104474117,0.031987310166089855,9.87,1.11,9.25,0.18,8.32,0.05,1.067027027027027,0.28163418492437164,1.1862980769230769,0.28109546532138874,5.73,0.73,3.86,0.1,3.25,0.03,1.484455958549223,0.455458843756716,1.7630769230769232,0.48182093622178457,4.3,0.65,1.94,0.07,2.36,0.02,2.216494845360825,0.8311384255194615,1.8220338983050848,0.5817711700064642,1.07,0.36,0.85,0.05,0.69,0.01,1.258823529411765,0.9986111111111111,1.5507246376811596,1.088655462184874
