geoid,state,district,owner,owner_moe,state_owner,state_owner_moe,country_owner,country_owner_moe,ratio_state_owner,ratio_state_owner_moe,ratio_country_owner,ratio_country_owner_moe,renter,renter_moe,state_renter,state_renter_moe,country_renter,country_renter_moe,ratio_state_renter,ratio_state_renter_moe,ratio_country_renter,ratio_country_renter_moe
50000US3615,New York,15,8.76,0.79,53.28,0.24,63.12,0.17,0.1644144144144144,0.031136497372319057,0.13878326996197718,0.025779437818601945,91.24,1.15,46.72,0.25,36.88,0.07,1.9529109589041096,0.07013162025914833,2.473969631236442,0.07175610851760805
50000US3613,New York,13,9.84,0.73,53.28,0.24,63.12,0.17,0.18468468468468469,0.029066818172595012,0.155893536121673,0.023970449577703203,90.16,1.33,46.72,0.25,36.88,0.07,1.9297945205479452,0.07758991987844024,2.44468546637744,0.0814063660849941
50000US0634,California,34,20.94,0.93,53.64,0.2,63.12,0.17,0.39038031319910516,0.037587251203388176,0.3317490494296578,0.03125489523307051,79.06,0.95,46.36,0.17,36.88,0.07,1.7053494391717,0.053491202648476247,2.143709327548807,0.05965637830809492
50000US3607,New York,7,21.64,1.08,53.28,0.24,63.12,0.17,0.40615615615615613,0.04420050186338765,0.3428390367553866,0.03606751879436928,78.36,1.55,46.72,0.25,36.88,0.07,1.6772260273972603,0.08430491851842487,2.1247288503253796,0.09212240452104009
50000US3612,New York,12,27.18,1.15,53.28,0.24,63.12,0.17,0.5101351351351351,0.047764949374023494,0.4306083650190114,0.03875831099352163,72.82,1.58,46.72,0.25,36.88,0.07,1.5586472602739725,0.08432012906607834,1.974511930585683,0.09317906861074625
50000US3609,New York,9,28.53,0.96,53.28,0.24,63.12,0.17,0.535472972972973,0.04086094596514011,0.4519961977186312,0.03285319628207637,71.47,1.46,46.72,0.25,36.88,0.07,1.5297517123287672,0.07887374507827682,1.9379067245119304,0.08653249561898332
50000US3408,New Jersey,8,29.16,1.3,63.23,0.39,63.12,0.17,0.46117349359481263,0.04681050020300755,0.4619771863117871,0.04368016860999289,70.84,1.37,36.77,0.41,36.88,0.07,1.9265705738373673,0.11749592118975212,1.9208242950108458,0.08158693712620746
50000US3610,New York,10,30.21,1.18,53.28,0.24,63.12,0.17,0.5670045045045045,0.04940344540713836,0.47861216730038025,0.03996746572097551,69.79,1.67,46.72,0.25,36.88,0.07,1.4937928082191783,0.08747888333871888,1.8923535791757051,0.0977478982699809
50000US3614,New York,14,31.96,0.99,53.28,0.24,63.12,0.17,0.5998498498498499,0.042567078573409356,0.5063371356147022,0.034096486651771646,68.04,1.78,46.72,0.25,36.88,0.07,1.4563356164383563,0.09178704188705354,1.8449023861171367,0.1035330826954345
50000US0628,California,28,32.6,1.17,53.64,0.2,63.12,0.17,0.6077554064131245,0.048156936498474065,0.5164765525982257,0.03985456710420947,67.4,1.66,46.36,0.17,36.88,0.07,1.4538395168248492,0.08227689227076584,1.8275488069414316,0.09695959098012356
50000US0640,California,40,32.83,1.59,53.64,0.2,63.12,0.17,0.6120432513049963,0.06384908489113898,0.5201204055766794,0.05318227642315195,67.17,1.57,46.36,0.17,36.88,0.07,1.4488783433994823,0.07835779731695307,1.8213123644251625,0.09205520503746151
50000US2507,Massachusetts,7,33.7,1.19,61.99,0.37,63.12,0.17,0.5436360703339248,0.04488449452967441,0.5339036755386566,0.04058215827869016,66.3,1.0,38.01,0.43,36.88,0.07,1.7442778216258878,0.09209489405605191,1.7977223427331885,0.061054480474101905
50000US3608,New York,8,34.34,1.13,53.28,0.24,63.12,0.17,0.6445195195195196,0.04822487808507328,0.5440430925221801,0.03873562083132588,65.66,1.24,46.72,0.25,36.88,0.07,1.4053938356164384,0.06812474426694073,1.7803687635574834,0.07400383566417756
50000US0637,California,37,34.6,1.11,53.64,0.2,63.12,0.17,0.645041014168531,0.046197816106271855,0.5481622306717364,0.03812409084046596,65.4,1.4,46.36,0.17,36.88,0.07,1.4106988783433996,0.07074378168793924,1.7733188720173536,0.08265389435344207
50000US0612,California,12,35.18,1.19,53.64,0.2,63.12,0.17,0.6558538404175988,0.04926133987596871,0.5573510773130546,0.04070846015498334,64.82,1.21,46.36,0.17,36.88,0.07,1.398188093183779,0.06245519596940415,1.7575921908893706,0.07229046940015636
50000US3410,New Jersey,10,36.93,1.39,63.23,0.39,63.12,0.17,0.5840582002214139,0.051173311620496535,0.5850760456273765,0.04719498517295789,63.07,1.28,36.77,0.41,36.88,0.07,1.715257002991569,0.10788697212916558,1.7101409978308024,0.07590644861390036
