geoid,state,district,foreign_born,foreign_born_moe,state_foreign_born,state_foreign_born_moe,country_foreign_born,country_foreign_born_moe,ratio_state_foreign_born,ratio_state_foreign_born_moe,ratio_country_foreign_born,ratio_country_foreign_born_moe,europe,europe_moe,state_europe,state_europe_moe,country_europe,country_europe_moe,ratio_state_europe,ratio_state_europe_moe,ratio_country_europe,ratio_country_europe_moe,asia,asia_moe,state_asia,state_asia_moe,country_asia,country_asia_moe,ratio_state_asia,ratio_state_asia_moe,ratio_country_asia,ratio_country_asia_moe,africa,africa_moe,state_africa,state_africa_moe,country_africa,country_africa_moe,ratio_state_africa,ratio_state_africa_moe,ratio_country_africa,ratio_country_africa_moe,oceania,oceania_moe,state_oceania,state_oceania_moe,country_oceania,country_oceania_moe,ratio_state_oceania,ratio_state_oceania_moe,ratio_country_oceania,ratio_country_oceania_moe,latin_america,latin_america_moe,state_latin_america,state_latin_america_moe,country_latin_america,country_latin_america_moe,ratio_state_latin_america,ratio_state_latin_america_moe,ratio_country_latin_america,ratio_country_latin_america_moe,north_america,north_america_moe,state_north_america,state_north_america_moe,country_north_america,country_north_america_moe,ratio_state_north_america,ratio_state_north_america_moe,ratio_country_north_america,ratio_country_north_america_moe
50000US1225,Florida,25,58.23,1.14,20.55,0.17,13.54,0.04,2.8335766423357662,0.15784126689426,4.300590841949778,0.19380134184257894,2.01,0.22,9.71,0.14,11.33,0.03,0.20700308959835217,0.05129396538463578,0.17740511915269194,0.03977471020815156,1.64,0.19,10.64,0.09,30.07,0.03,0.15413533834586465,0.0383245805046753,0.05453940804788826,0.012746017491627995,0.26,0.07,1.7,0.07,4.56,0.04,0.15294117647058825,0.0951093549616998,0.05701754385964913,0.03170450173143517,0.02,0.02,0.08,0.02,0.26,0.01,0.25,0.6666666666666666,0.07692307692307693,0.16,96.08,0.34,77.76,0.16,53.45,0.09,1.2355967078189298,0.013829674633247952,1.7975678203928904,0.018775772741197575,0.07,0.05,0.15,0.02,0.09,0.0,0.46666666666666673,0.8054298642533937,0.7777777777777779,1.1111111111111112
50000US1227,Florida,27,54.98,0.98,20.55,0.17,13.54,0.04,2.675425790754258,0.13965163817960677,4.0605612998522895,0.1687492499863634,5.72,0.35,9.71,0.14,11.33,0.03,0.5890834191555097,0.08909610723018738,0.5048543689320388,0.06445687398728654,3.57,0.29,10.64,0.09,30.07,0.03,0.3355263157894737,0.060191781911017074,0.11872297971400066,0.01952523987949622,0.45,0.08,1.7,0.07,4.56,0.04,0.2647058823529412,0.11611382621052999,0.0986842105263158,0.03682185455944594,0.01,0.01,0.08,0.02,0.26,0.01,0.125,0.3333333333333333,0.038461538461538464,0.08,90.14,0.28,77.76,0.16,53.45,0.09,1.159207818930041,0.011972099324710514,1.6864359214218896,0.016156424962714758,0.22,0.08,0.15,0.02,0.09,0.0,1.4666666666666668,1.484162895927602,2.4444444444444446,1.777777777777778
50000US3606,New York,6,51.1,1.27,22.97,0.18,13.54,0.04,2.224640835872878,0.14545389067426606,3.7740029542097493,0.20989254350079092,15.48,1.07,15.69,0.27,10.94,0.08,0.9866156787762906,0.1703992471451001,1.4149908592321756,0.2163185636027581,63.55,1.74,29.05,0.22,30.78,0.08,2.1876075731497417,0.15293639030728182,2.0646523716699154,0.12379370108992803,1.23,0.38,4.54,0.28,4.9,0.08,0.2709251101321586,0.2015857245826272,0.25102040816326526,0.16334216534186535,0.0,0.0,0.33,0.1,0.26,0.02,0.0,0.0,0.0,0.0,19.68,1.5,50.42,0.44,52.78,0.16,0.39032130107100355,0.06631767925416332,0.37286851079954525,0.05910092060071878,0.54,0.28,0.24,0.06,0.09,0.01,2.2500000000000004,3.688888888888889,6.000000000000001,7.65
50000US0617,California,17,49.38,1.23,27.2,0.12,13.54,0.04,1.8154411764705884,0.1064618472245351,3.646971935007386,0.20323351333660614,5.18,0.36,6.45,0.06,11.33,0.03,0.8031007751937984,0.12658027015137419,0.4571932921447484,0.0659697120777764,80.08,0.38,37.87,0.1,30.07,0.03,2.11460258780037,0.031236566303860566,2.6631193880944464,0.03058823008967003,1.23,0.19,1.69,0.04,4.56,0.04,0.727810650887574,0.25944999124189877,0.26973684210526316,0.0880723355136591,0.09,0.06,0.08,0.01,0.26,0.01,1.125,1.8095238095238093,0.34615384615384615,0.4888888888888889,12.87,0.57,53.23,0.1,53.45,0.09,0.24178095059177157,0.02232501191403514,0.24078578110383533,0.022139285232243795,0.01,0.01,0.04,0.01,0.09,0.0,0.25,0.6666666666666666,0.11111111111111112,0.22222222222222224
50000US1226,Florida,26,47.79,1.53,20.55,0.17,13.54,0.04,2.3255474452554745,0.18739414445989522,3.529542097488922,0.24685321551300934,2.04,0.21,9.71,0.14,11.33,0.03,0.2100926879505664,0.04932291583788169,0.18005295675198588,0.03802349495201296,2.93,0.33,10.64,0.09,30.07,0.03,0.27537593984962405,0.06669346254245748,0.09743930828067843,0.022143233164197456,0.34,0.09,1.7,0.07,4.56,0.04,0.2,0.12256074312848778,0.07456140350877194,0.04078491727587533,0.02,0.02,0.08,0.02,0.26,0.01,0.25,0.6666666666666666,0.07692307692307693,0.16,94.66,0.34,77.76,0.16,53.45,0.09,1.217335390946502,0.013754524862931052,1.7710009354536949,0.018686304961079415,0.05,0.03,0.15,0.02,0.09,0.0,0.33333333333333337,0.497737556561086,0.5555555555555556,0.6666666666666666
50000US0634,California,34,46.5,0.91,27.2,0.12,13.54,0.04,1.709558823529412,0.08199770324249392,3.4342688330871494,0.1547089947089947,1.59,0.15,6.45,0.06,11.33,0.03,0.24651162790697675,0.05110231280154042,0.14033539276257723,0.027221737504674066,31.47,0.45,37.87,0.1,30.07,0.03,0.8310007921837866,0.028154412276905204,1.0465580312603924,0.03201843831701696,0.66,0.12,1.69,0.04,4.56,0.04,0.3905325443786983,0.1605885444035733,0.14473684210526316,0.05517506733358984,0.03,0.02,0.08,0.01,0.26,0.01,0.375,0.6031746031746031,0.11538461538461538,0.16296296296296298,66.1,0.78,53.23,0.1,53.45,0.09,1.2417809505917716,0.03397262018317139,1.23666978484565,0.03335090019428089,0.06,0.05,0.04,0.01,0.09,0.0,1.5,3.4666666666666663,0.6666666666666666,1.1111111111111112
50000US3614,New York,14,45.82,1.14,22.97,0.18,13.54,0.04,1.9947757945145843,0.1305312757954353,3.3840472673559825,0.18838597065401186,10.68,0.98,15.69,0.27,10.94,0.08,0.6806883365200764,0.14839140653189392,0.9762340036563072,0.1934470392021204,28.39,1.74,29.05,0.22,30.78,0.08,0.9772805507745267,0.1346033633065242,0.9223521767381416,0.11785577822297187,3.65,0.79,4.54,0.28,4.9,0.08,0.803964757709251,0.44889252527613815,0.7448979591836734,0.3468646369711209,0.21,0.17,0.33,0.1,0.26,0.02,0.6363636363636364,1.5591506572295246,0.8076923076923076,1.4404761904761905,57.2,2.35,50.42,0.44,52.78,0.16,1.1344704482348276,0.11302594179630168,1.083743842364532,0.09562039425024091,0.27,0.13,0.24,0.06,0.09,0.01,1.1250000000000002,1.7555555555555555,3.0000000000000004,3.5999999999999996
50000US3408,New Jersey,8,44.47,1.11,22.54,0.25,13.54,0.04,1.9729370008873115,0.14227431257875414,3.2843426883308715,0.18336551573664978,9.94,0.97,15.11,0.46,10.94,0.08,0.6578424884182661,0.16860199780359975,0.9085923217550275,0.19062945991383487,17.67,1.33,33.19,0.28,30.78,0.08,0.5323892738776741,0.08913373128241668,0.5740740740740741,0.08940449777391224,3.11,0.62,4.9,0.29,4.9,0.08,0.6346938775510204,0.3293418429400774,0.6346938775510204,0.2738589211618257,0.26,0.27,0.26,0.1,0.26,0.02,1.0,3.3402777777777777,1.0,2.244047619047619,69.16,1.71,46.66,0.73,52.78,0.16,1.4822117445349337,0.119704163702786,1.3103448275862069,0.07274243325598122,0.04,0.07,0.09,0.04,0.09,0.01,0.4444444444444445,2.430769230769231,0.4444444444444445,1.675
50000US0629,California,29,43.44,0.98,27.2,0.12,13.54,0.04,1.5970588235294116,0.08615219586886425,3.208271787296898,0.16371352206403755,3.04,0.26,6.45,0.06,11.33,0.03,0.47131782945736433,0.0893965946214924,0.26831421006178285,0.047317088370933576,21.5,0.56,37.87,0.1,30.07,0.03,0.5677317137575918,0.03257340755549597,0.7149983372131693,0.03867313128453314,0.98,0.18,1.69,0.04,4.56,0.04,0.5798816568047337,0.24060255736556316,0.2149122807017544,0.08272412466333205,0.03,0.02,0.08,0.01,0.26,0.01,0.375,0.6031746031746031,0.11538461538461538,0.16296296296296298,74.33,0.74,53.23,0.1,53.45,0.09,1.3963930114597032,0.03305062579962914,1.390645463049579,0.03237270513043815,0.03,0.01,0.04,0.01,0.09,0.0,0.75,0.9333333333333333,0.3333333333333333,0.22222222222222224
50000US1224,Florida,24,42.53,1.56,20.55,0.17,13.54,0.04,2.069586374695864,0.18607888345376078,3.1410635155096016,0.2489892543500791,3.22,0.25,9.71,0.14,11.33,0.03,0.3316168898043254,0.06106858891735488,0.28420123565754635,0.04563598404586813,3.21,0.34,10.64,0.09,30.07,0.03,0.30169172932330823,0.06901852007261387,0.1067509145327569,0.022826928436503264,1.02,0.24,1.7,0.07,4.56,0.04,0.6,0.3323281688676303,0.22368421052631582,0.10919584455559829,0.12,0.11,0.08,0.02,0.26,0.01,1.5,3.7333333333333334,0.4615384615384615,0.882962962962963,92.51,0.47,77.76,0.16,53.45,0.09,1.1896862139917694,0.01698437731535384,1.730776426566885,0.02341521618719964,0.12,0.05,0.15,0.02,0.09,0.0,0.8,0.8959276018099548,1.3333333333333333,1.1111111111111112
