geoid,state,district,below,below_moe,children_Below,children_Below_moe,state_children_Below,state_children_Below_moe,country_children_Below,country_children_Below_moe,ratio_state_children_Below,ratio_state_children_Below_moe,ratio_country_children_Below,ratio_country_children_Below_moe,children_above,children_above_moe,state_children_above,state_children_above_moe,country_children_above,country_children_above_moe,ratio_state_children_above,ratio_state_children_above_moe,ratio_country_children_above,ratio_country_children_above_moe,seniors_Below,seniors_Below_moe,state_seniors_Below,state_seniors_Below_moe,country_seniors_Below,country_seniors_Below_moe,ratio_state_seniors_Below,ratio_state_seniors_Below_moe,ratio_country_seniors_Below,ratio_country_seniors_Below_moe,seniors_above,seniors_above_moe,state_seniors_above,state_seniors_above_moe,country_seniors_above,country_seniors_above_moe,ratio_state_seniors_above,ratio_state_seniors_above_moe,ratio_country_seniors_above,ratio_country_seniors_above_moe
50000US3615,New York,15,35.95,1.74,47.19,2.01,20.66,0.36,19.48,0.1,2.2841239109390123,0.2742637788078911,2.422484599589322,0.23124310204701196,52.81,1.92,79.34,0.13,80.52,0.2,0.6656163347617847,0.05058067836012496,0.6558618976651764,0.05094846086417463,32.36,2.87,11.41,0.28,9.25,0.07,2.836108676599474,0.6426500099531396,3.498378378378378,0.6735275416795236,67.64,1.88,88.59,0.5,90.75,0.13,0.7635173270120781,0.05106289000928791,0.7453443526170799,0.04356801812863498
50000US2613,Michigan,13,29.55,1.61,44.25,2.12,20.73,0.45,19.48,0.1,2.1345875542691752,0.29734845310134045,2.271560574948665,0.24098746535870408,55.75,1.88,79.27,0.16,80.52,0.2,0.703292544468273,0.0502721060861635,0.692374565325385,0.05013629821645035,15.7,1.58,8.11,0.31,9.25,0.07,1.935881627620222,0.5384249954321214,1.6972972972972973,0.36733148194900284,84.3,1.24,91.89,0.59,90.75,0.13,0.9174012406137773,0.03877114308129024,0.9289256198347107,0.029989269927665756
50000US2105,Kentucky,5,29.31,1.42,36.83,2.04,25.05,0.75,19.48,0.1,1.4702594810379241,0.25113886496315435,1.8906570841889117,0.2288628800264797,63.17,1.68,74.95,0.41,80.52,0.2,0.8428285523682455,0.05405257696604282,0.7845255837059116,0.04562634003135131,17.03,1.88,11.14,0.61,9.25,0.07,1.5287253141831239,0.5064597603604696,1.8410810810810811,0.43437637334380585,82.97,3.39,88.86,1.08,90.75,0.13,0.933715957686248,0.09901109739598558,0.9142699724517906,0.07733029855362587
50000US0407,Arizona,7,28.42,1.7,39.96,1.97,23.64,0.58,19.48,0.1,1.6903553299492386,0.24976168871210208,2.051334702258727,0.22332554332415186,60.04,1.57,76.36,0.28,80.52,0.2,0.78627553693033,0.046887931394049565,0.7456532538499752,0.04270097508874315,21.34,2.56,8.97,0.38,9.25,0.07,2.3790412486064656,0.7737488560881014,2.307027027027027,0.5884643795524886,78.66,2.01,91.03,0.67,90.75,0.13,0.8641107327254751,0.05688442160112729,0.8667768595041322,0.046780944300763745
50000US0616,California,16,28.11,1.74,40.26,1.95,19.92,0.26,19.48,0.1,2.0210843373493974,0.24858471115000597,2.0667351129363447,0.2214302203866332,59.74,1.7,80.08,0.09,80.52,0.2,0.746003996003996,0.0441344303624831,0.7419274714356682,0.045911497715777135,15.0,2.23,10.31,0.21,9.25,0.07,1.454898157129001,0.4920622670632082,1.6216216216216217,0.5067346442630463,85.0,5.16,89.69,0.36,90.75,0.13,0.947708774668302,0.12267284621719356,0.9366391184573003,0.11640273110745694
50000US4834,Texas,34,28.08,2.01,40.35,2.1,22.45,0.32,19.48,0.1,1.7973273942093542,0.23836867664840714,2.0713552361396306,0.2368784726943839,59.65,1.8,77.55,0.15,80.52,0.2,0.7691811734364926,0.049397404048566844,0.7408097367113761,0.0483898153668774,22.04,1.98,10.47,0.28,9.25,0.07,2.1050620821394457,0.49116644224844236,2.382702702702703,0.46419721918333384,77.96,1.3,89.53,0.5,90.75,0.13,0.8707695744443202,0.03876776307382108,0.8590633608815427,0.03111142994581926
50000US4815,Texas,15,27.95,1.91,40.09,2.19,22.45,0.32,19.48,0.1,1.7857461024498889,0.2460578991748563,2.0580082135523616,0.24598192591374485,59.91,1.59,77.55,0.15,80.52,0.2,0.7725338491295938,0.043994492831702134,0.7440387481371088,0.0431897286967097,17.74,2.23,10.47,0.28,9.25,0.07,1.6943648519579748,0.5169737773010474,1.9178378378378376,0.5112181734878025,82.26,0.59,89.53,0.5,90.75,0.13,0.9187981682117726,0.023443132244822255,0.9064462809917356,0.015599767913372978
50000US3613,New York,13,27.35,1.59,40.26,2.7,20.66,0.36,19.48,0.1,1.9486931268151015,0.32938650968113875,2.0667351129363447,0.2984343030260865,59.74,1.96,79.34,0.13,80.52,0.2,0.7529619359717671,0.05187523510407059,0.7419274714356682,0.052369560410488875,28.5,2.79,11.41,0.28,9.25,0.07,2.497808939526731,0.6120051003115065,3.081081081081081,0.6499130410390194,71.5,2.1,88.59,0.5,90.75,0.13,0.807088836211762,0.05652159769201034,0.7878787878787878,0.048538374919568174
50000US2802,Mississippi,2,27.29,1.64,39.77,1.92,29.72,0.98,19.48,0.1,1.338156123822342,0.21769248728916335,2.041581108829569,0.21809179561292827,60.23,1.82,70.28,0.73,80.52,0.2,0.8570005691519635,0.06960370806715997,0.748012916045703,0.0489223729462724,14.39,1.56,12.28,0.71,9.25,0.07,1.1718241042345279,0.3908824220213275,1.5556756756756758,0.3608633248244458,85.61,3.56,87.72,1.43,90.75,0.13,0.9759461924304605,0.11301688010671343,0.9433608815426997,0.08116020874196848
50000US0621,California,21,27.24,2.38,37.4,2.12,19.92,0.26,19.48,0.1,1.8775100401606424,0.26190733046528347,1.919917864476386,0.23737707544713493,62.6,1.43,80.08,0.09,80.52,0.2,0.7817182817182817,0.03747144206921337,0.7774465971187283,0.03938149779474767,17.37,2.37,10.31,0.21,9.25,0.07,1.684772065955383,0.5285999322365696,1.877837837837838,0.540884737299784,82.63,1.29,89.69,0.36,90.75,0.13,0.9212844241275504,0.036162080931566996,0.9105234159779614,0.03103847788785239
50000US1302,Georgia,2,26.56,1.5,38.25,2.14,22.89,0.54,19.48,0.1,1.671035386631717,0.2659723236715391,1.963552361396304,0.23987852223842066,61.75,1.8,77.11,0.31,80.52,0.2,0.8008040461678122,0.05312624456428141,0.7668902136115251,0.04851937640913058,15.82,1.81,10.05,0.4,9.25,0.07,1.5741293532338307,0.48627314872201693,1.7102702702702703,0.4172604187120723,84.18,3.96,89.95,0.87,90.75,0.13,0.9358532518065592,0.10616206756442598,0.9276033057851241,0.0899305080649423
50000US4202,Pennsylvania,2,26.45,1.58,35.28,3.0,18.52,0.44,19.48,0.1,1.9049676025917928,0.41472499159852144,1.811088295687885,0.32661115626294596,64.72,1.76,81.48,0.92,80.52,0.2,0.7943053510063819,0.06114576604544885,0.8037754595131644,0.04770906463343849,17.23,2.08,7.84,0.25,9.25,0.07,2.197704081632653,0.671454698541279,1.8627027027027028,0.4779493580932612,82.77,0.43,92.16,0.5,90.75,0.13,0.8981119791666666,0.019077297413714545,0.9120661157024793,0.012089690815384474
50000US3911,Ohio,11,26.43,1.48,38.68,2.11,20.51,0.45,19.48,0.1,1.885909312530473,0.28864789220125875,1.9856262833675564,0.23702499654772935,61.32,1.89,79.49,0.14,80.52,0.2,0.7714177884010568,0.05027059222628665,0.7615499254843517,0.05072833048381302,13.04,1.43,8.1,0.3,9.25,0.07,1.6098765432098765,0.4729853479853479,1.4097297297297295,0.3305445688051091,86.96,0.37,91.9,0.58,90.75,0.13,0.946245919477693,0.019996936511328653,0.9582369146005509,0.010899654298556735
50000US4828,Texas,28,26.02,2.09,37.15,1.87,22.45,0.32,19.48,0.1,1.6547884187082404,0.2138102373863391,1.9070841889117043,0.21157728184548372,62.85,1.75,77.55,0.15,80.52,0.2,0.8104448742746616,0.04826753663962967,0.7805514157973175,0.04734530658337907,18.97,2.24,10.47,0.28,9.25,0.07,1.8118433619866283,0.5251733345505168,2.0508108108108107,0.5153931386574659,81.03,0.92,89.53,0.5,90.75,0.13,0.9050597565061991,0.030661737687023318,0.8928925619834711,0.022833678438985275
50000US4709,Tennessee,9,25.99,1.66,43.27,2.15,22.63,0.64,19.48,0.1,1.912063632346443,0.2984022311192356,2.221252566735113,0.2435511057280285,56.73,2.22,77.37,0.34,80.52,0.2,0.7332299340829778,0.06383212780124188,0.7045454545454546,0.05864191894463771,11.49,1.79,8.91,0.41,9.25,0.07,1.2895622895622896,0.5215804089876294,1.2421621621621621,0.4058505614930761,88.51,4.39,91.09,0.82,90.75,0.13,0.9716763640355692,0.11389164510000022,0.9753168044077135,0.09954381164497468
