geoid,state,district,male,male_moe,state_male,state_male_moe,country_male,country_male_moe,ratio_state_male,ratio_state_male_moe,ratio_country_male,ratio_country_male_moe,female,female_moe,state_female,state_female_moe,country_female,country_female_moe,ratio_state_female,ratio_state_female_moe,ratio_country_female,ratio_country_female_moe
50000US0200,Alaska,0,52.65,0.3,52.65,0.3,49.23,0.01,1.0,0.022792762810782727,1.0694698354661791,0.012622169862858152,47.35,0.3,47.35,0.3,50.77,0.01,1.0,0.025344206393368224,0.9326373842820563,0.012185400269584862
50000US0101,Alabama,1,48.09,0.33,48.45,0.11,49.23,0.01,0.9925696594427245,0.01812940872553624,0.9768433881779404,0.013803308872678612,51.91,0.31,51.55,0.11,50.77,0.01,1.0069835111542191,0.01632473723093152,1.0224542052393144,0.012614715559416526
50000US0102,Alabama,2,48.78,0.49,48.45,0.11,49.23,0.01,1.006811145510836,0.0247988574887245,0.9908592321755029,0.020309104730794714,51.22,0.32,51.55,0.11,50.77,0.01,0.9935984481086324,0.01665558812886507,1.0088635020681505,0.013003295167491158
50000US0103,Alabama,3,48.61,0.41,48.45,0.11,49.23,0.01,1.0033023735810114,0.02148053429885374,0.9874060532195816,0.017057650938722052,51.39,0.32,51.55,0.11,50.77,0.01,0.9968962172647915,0.01666966208653422,1.012211936182785,0.013004614227662338
50000US0104,Alabama,4,48.93,0.5,48.45,0.11,49.23,0.01,1.009907120743034,0.025225714478511966,0.9939061547836685,0.020716598927014475,51.07,0.33,51.55,0.11,50.77,0.01,0.9906886517943745,0.017031144539394742,1.005909001378767,0.013396064731403659
50000US0105,Alabama,5,49.26,0.27,48.45,0.11,49.23,0.01,1.0167182662538699,0.015762269454625017,1.0006093845216333,0.01137542577284435,50.74,0.25,51.55,0.11,50.77,0.01,0.9842870999030069,0.013900027636135058,0.9994090998621232,0.010242036678563039
50000US0106,Alabama,6,48.3,0.45,48.45,0.11,49.23,0.01,0.9969040247678017,0.02310267606104208,0.9811090798293723,0.018680118211277078,51.7,0.52,51.55,0.11,50.77,0.01,1.0029097963142581,0.02445481853174453,1.0183179042741777,0.02088568838336296
50000US0107,Alabama,7,47.08,0.69,48.45,0.11,49.23,0.01,0.9717234262125902,0.0328955081353319,0.9563274426162909,0.028420203261868084,52.92,0.53,51.55,0.11,50.77,0.01,1.026576139670223,0.02494379448349027,1.0423478432144968,0.021289088020419678
50000US0501,Arkansas,1,49.91,0.42,49.15,0.15,49.23,0.01,1.0154628687690743,0.023288901767603593,1.0138127158236847,0.017474635177988647,50.09,0.21,50.85,0.15,50.77,0.01,0.9850540806293019,0.014071237962640676,0.9866062635414615,0.008661259451066126
50000US0502,Arkansas,2,48.32,0.23,49.15,0.15,49.23,0.01,0.9831129196337742,0.01535993707827959,0.9815153361771278,0.009742643236107983,51.68,0.24,50.85,0.15,50.77,0.01,1.016322517207473,0.01543566539041652,1.0179239708489265,0.009855396864857787
50000US0503,Arkansas,3,49.27,0.27,49.15,0.15,49.23,0.01,1.002441505595117,0.017105600861034072,1.000812512695511,0.0113755082949578,50.73,0.25,50.85,0.15,50.77,0.01,0.9976401179941002,0.015718760877131914,0.9992121331494976,0.010241959086788264
50000US0504,Arkansas,4,49.14,0.57,49.15,0.15,49.23,0.01,0.999796541200407,0.02929709814960467,0.9981718464351006,0.023562126443022937,50.86,0.29,50.85,0.15,50.77,0.01,1.000196656833825,0.017307112193990018,1.00177270041363,0.011818701541996858
50000US0401,Arizona,1,50.37,0.42,49.69,0.04,49.23,0.01,1.013684846045482,0.018536836074925445,1.0231566118220596,0.01747843119520738,49.63,0.47,50.31,0.04,50.77,0.01,0.9864838004372888,0.020252819481848663,0.9775457947606855,0.018899959683313827
50000US0402,Arizona,2,48.82,0.36,49.69,0.04,49.23,0.01,0.9824914469712216,0.016071640838372123,0.9916717448710137,0.015028102080514518,51.18,0.49,50.31,0.04,50.77,0.01,1.0172927847346451,0.021096881210875374,1.008075635217648,0.01969985328947226
50000US0403,Arizona,3,50.47,0.63,49.69,0.04,49.23,0.01,1.0156973234051117,0.026992486516818216,1.025187893560837,0.02601064007121989,49.53,0.77,50.31,0.04,50.77,0.01,0.9844961240310077,0.032175724770450095,0.9755761276344297,0.030717186981589956
50000US0404,Arizona,4,50.96,0.43,49.69,0.04,49.23,0.01,1.0255584624672973,0.018958448127441054,1.0351411740808452,0.017889556364418975,49.04,0.52,50.31,0.04,50.77,0.01,0.9747565096402305,0.022221849085445052,0.965924758715777,0.020865048971272733
50000US0405,Arizona,5,48.99,0.78,49.69,0.04,49.23,0.01,0.9859126584825921,0.03298196970589826,0.9951249238269348,0.03209227226619918,51.01,0.63,50.31,0.04,50.77,0.01,1.0139137348439673,0.02665700549702905,1.0047272011030135,0.02521360239677889
50000US0406,Arizona,6,49.53,0.64,49.69,0.04,49.23,0.01,0.9967800362245925,0.027364525740104322,1.0060938452163315,0.026409139357073518,50.47,0.68,50.31,0.04,50.77,0.01,1.0031802822500495,0.028627615444622872,0.994090998621233,0.02717907964361167
50000US0407,Arizona,7,49.67,0.82,49.69,0.04,49.23,0.01,0.9995975045280742,0.03461398500543418,1.0089376396506196,0.03372290922798582,50.33,0.53,50.31,0.04,50.77,0.01,1.0003975352812562,0.022660157493131924,0.991333464644475,0.021268991750752878
