Year,2016,,,,2012,,,,2008,,,,2004,,,,2000,,,,1996,,,,1992,,,,1988,,,,1984,,,,1980,,,,1976,,,,1972,,,,1964,,,,1960,,,,1956,,,,1952,,,,1944,,,,1940,,,,1936,,,,1932,,,,1928,,,,1920,,,,1916,,,,1908,,,,1904,,,,1900,,,,1896,,,,1888,,,,1884,,,,1880,,,,1876,,,,1872,,,,1868,,,,1864,,,,1852,,,,1848,,,,1844,,,,1840,,,,1836,,,,1832,,,,,1828,,,,,2016,,,2012,,,2008,,,2004,,,2000,,,,1996,,,,1992,,,,1988,,,1984,,,1980,,,,1976,,,1972,,,1968,,,,1964,,,1960,,,,1956,,,,1952,,,1948,,,,,1944,,,1940,,,1936,,,1932,,,,1928,,,1924,,,,1920,,,,1916,,,,1912,,,,,1908,,,,1904,,,,1900,,,1896,,,1892,,,,1888,,,1884,,,1880,,,,1876,,,1872,,,1868,,,1864,,,1860,,,,,1856,,,,1852,,,,1848,,,,1844,,,,1840,,,1836,,,1832,,,,1828,,,,PVI,PVI,PVI,PVI,PVI,PVI,PVI,PVI,PVI,PVI,PVI,PVI,PVI,PVI,PVI,PVI,PVI,PVI,PVI,PVI,PVI,PVI,PVI,PVI,PVI,PVI,PVI,PVI,PVI,PVI,PVI,PVI,PVI,PVI,PVI,PVI,PVI,PVI,PVI,PVI,PVI,PVI,PVI,PVI,PVI,PVI,PVI,PVI
State,"Clinton, Hillary - Democratic","Trump, Donald - Republican",PVI,,"Obama, Barack - Democratic","Romney, Mitt - Republican",PVI,,"Obama, Barack - Democratic","McCain, John - Republican",PVI,,"Kerry, John - Democratic","Bush, George W. - Republican",PVI,,"Gore, Al - Democratic","Bush, George W. - Republican",PVI,,"Clinton, Bill - Democratic","Dole, Bob - Republican",PVI,,"Clinton, Bill - Democratic","Bush, George H.W. - Republican",PVI,,"Dukakis, Michael - Democratic","Bush, George H.W. - Republican",PVI,,"Mondale, Walter - Democratic","Reagan, Ronald - Republican",PVI,,"Carter, Jimmy - Democratic","Reagan, Ronald - Republican",PVI,,"Carter, Jimmy - Democratic","Ford, Gerald - Republican",PVI,,"McGovern, George - Democratic","Nixon, Richard - Republican",PVI,,"Johnson, Lyndon (LBJ) - Democratic","Goldwater, Barry - Republican",PVI,,"Kennedy, Jack (JFK) - Democratic","Nixon, Richard - Republican",PVI,,"Stevenson, Adlai - Democratic","Eisenhower, Dwight - Republican",PVI,,"Stevenson, Adlai - Democratic","Eisenhower, Dwight - Republican",PVI,,"Roosevelt, Franklin (FDR) - Democratic","Dewey, Thomas - Republican",PVI,,"Roosevelt, Franklin (FDR) - Democratic","Wilkie, Wendell - Republican",PVI,,"Roosevelt, Franklin (FDR) - Democratic","Landon, Alf - Republican",PVI,,"Roosevelt, Franklin (FDR) - Democratic","Hoover, Herbert - Republican",PVI,,"Smith, Al - Democratic","Hoover, Herbert - Republican",PVI,,"Cox, John - Democratic","Harding, Warren - Republican",PVI,,"Wilson, Woodrow - Democratic","Hughes, Charles - Republican",PVI,,"Bryan, William - Democratic","Taft, William - Republican",PVI,,"Parker, Alton - Democratic","Roosevelt, Theodore (Teddy) - Democratic",PVI,,"Bryan, William - Democratic","McKinley, William - Republican",PVI,,"Bryan, William - Democratic","McKinley, William - Republican",PVI,,"Cleveland, Grover - Democratic","Harrison, Benjamin - Republican",PVI,,"Cleveland, Grover - Democratic","Blaine, James - Republican",PVI,,"Hancock, Winfield - Democratic","Garfield, James - Republican",PVI,,"Tilden, Samuel - Democratic","Hayes, Rutherford - Republican",PVI,,"Greeley, Horace - Liberal Republican/Democratic","Grant, Ulysses - Republican",PVI,,"Seymour, Horatio - Democratic","Grant, Ulysses - Republican",PVI,,"McClellan, George - Democratic","Lincoln, Abraham - National Union (Republican)",PVI,,"Pierce, Franklin - Democratic","Scott, Winfield - Whig",PVI,,"Cass, Lewis - Democratic","Taylor, Zachary - Whig",PVI,,"Polk, James - Democratic","Clay, Henry - Whig",PVI,,"Van Buren, Martin - Democratic","Harrison, William - Whig",PVI,,"Van Buren, Martin - Democratic","Whig (Harrison, White, Webster)",PVI,,"Jackson, Andrew - Democratic","Clay, Henry - National Republican","Wirt, William - Anti-Masonic",PVI,,"Jackson, Andrew - Democratic","Adams, John Quincy - National Republican",PVI,,,Total,"Clinton, Hillary - Democratic","Trump, Donald - Republican",Total,"Obama, Barack - Democratic","Romney, Mitt - Republican",Total,"Obama, Barack - Democratic","McCain, John - Republican",Total,"Kerry, John - Democratic","Bush, George W. - Republican",Total,"Gore, Al - Democratic","Bush, George W. - Republican","Nader, Ralph - Green",Total,"Clinton, Bill - Democratic","Dole, Bob - Republican","Perot, Ross - Reform",Total,"Clinton, Bill - Democratic","Bush, George H.W. - Republican","Perot, Ross - Independent",Total,"Dukakis, Michael - Democratic","Bush, George H.W. - Republican",Total,"Mondale, Walter - Democratic","Reagan, Ronald - Republican",Total,"Carter, Jimmy - Democratic","Reagan, Ronald - Republican","Anderson, John - Independent",Total,"Carter, Jimmy - Democratic","Ford, Gerald - Republican",Total,"McGovern, George - Democratic","Nixon, Richard - Republican",Total,"Humphrey, Hubert - Democratic","Nixon, Richard - Republican","Wallace, George - American Independent",Total,"Johnson, Lyndon (LBJ) - Democratic","Goldwater, Barry - Republican",Total,"Kennedy, Jack (JFK) - Democratic","Nixon, Richard - Republican","Other (Unpledge Democratic, etc.)",Total,"Stevenson, Adlai - Democratic","Eisenhower, Dwight - Republican","Other (Unpledged Democratic, etc.)",Total,"Stevenson, Adlai - Democratic","Eisenhower, Dwight - Republican",Total,"Truman, Harry - Democratic","Dewey, Thomas - Republican","Thurmond, Strom - States' Rights ""Dixiecrat""","Wallace, Henry - Progressive",Total,"Roosevelt, Franklin (FDR) - Democratic","Dewey, Thomas - Republican",Total,"Roosevelt, Franklin (FDR) - Democratic","Wilkie, Wendell - Republican",Total,"Roosevelt, Franklin (FDR) - Democratic","Landon, Alf - Republican",Total,"Roosevelt, Franklin (FDR) - Democratic","Hoover, Herbert - Republican","Thomas, Norman - Socialist",Total,"Smith, Al - Democratic","Hoover, Herbert - Republican",Total,"Davis, John - Democratic","Coolidge, Calvin - Republican","LaFollette, Robert - Progressive",Total,"Cox, John - Democratic","Harding, Warren - Republican","Debs, Eugene - Socialist",Total,"Wilson, Woodrow - Democratic","Hughes, Charles - Republican","Benson, Allan - Socialist",Total,"Wilson, Woodrow - Democratic","Taft, William - Republican","Roosevelt, Theodore ""Teddy"" - Progressive ""Bull Moose""","Debs, Eugene - Socialist",Total,"Bryan, William - Democratic","Taft, William - Republican","Debs, Eugene - Socialist",Total,"Parker, Alton - Democratic","Roosevelt, Theodore (Teddy) - Democratic","Debs, Eugene - Socialist",Total,"Bryan, William - Democratic","McKinley, William - Republican",Total,"Bryan, William - Democratic","McKinley, William - Republican",Total,"Cleveland, Grover - Democratic","Harrison, Benjamin - Republican","Weaver, James - Populist",Total,"Cleveland, Grover - Democratic","Harrison, Benjamin - Republican",Total,"Cleveland, Grover - Democratic","Blaine, James - Republican",Total,"Hancock, Winfield - Democratic","Garfield, James - Republican","Weaver, James - Greenback",Total,"Tilden, Samuel - Democratic","Hayes, Rutherford - Republican",Total,"Greeley, Horace - Liberal Republican/Democratic","Grant, Ulysses - Republican",Total,"Seymour, Horatio - Democratic","Grant, Ulysses - Republican",Total,"McClellan, George - Democratic","Lincoln, Abraham - National Union (Republican)",Total,"Douglas, Stephen - (Northern) Democratic","Lincoln, Abraham - Republican","Breckinridge, John - Southern Democratic","Bell, John - Constitutional Union",Total,"Buchanan, James - Democratic","Fremont, John - Republican","Fillmore, Millard - American - ""Know-Nothing"" (in the South) / Whig (in the North)",Total,"Pierce, Franklin - Democratic","Scott, Winfield - Whig","Hale, John - Free Soil",Total,"Cass, Lewis - Democratic","Taylor, Zachary - Whig","Van Buren, Martin - Free Soil",Total,"Polk, James - Democratic","Clay, Henry - Whig","Birney, James - Liberty",Total,"Van Buren, Martin - Democratic","Harrison, William - Whig",Total,"Van Buren, Martin - Democratic","Whig (Harrison, White, Webster)",Total,"Jackson, Andrew - Democratic","Clay, Henry - National Republican","Wirt, William - Anti-Masonic",Total,"Jackson, Andrew - Democratic","Adams, John Quincy - National Republican",,2016 raw,2012 raw,2008 raw,2004 raw,2000 raw,1996 raw,1992 raw,1988 raw,1984 raw,1980 raw,1976 raw,1972 raw,1968 raw,1964 raw,1960 raw,1956 raw,1952 raw,1948 raw,1944 raw,1940 raw,1936 raw,1932 raw,1928 raw,1924 raw,1920 raw,1916 raw,1912 raw,1908 raw,1904 raw,1900 raw,1896 raw,1892 raw,1888 raw,1884 raw,1880 raw,1876 raw,1872 raw,1868 raw,1864 raw,1860 raw,1856 raw,1852 raw,1848 raw,1844 raw,1840 raw,1836 raw,1832 raw,1828 raw
Nationwide,51.1,48.9,Even,,52,48,Even,,53.7,46.3,Even,,48.8,51.2,Even,,50.3,49.7,Even,,54.7,45.3,Even,,53.5,46.5,Even,,46.1,53.9,Even,,40.8,59.2,Even,,44.7,55.3,Even,,51.1,48.9,Even,,38.2,61.8,Even,,61.5,38.5,Even,,50.2,49.8,Even,,42.2,57.8,Even,,44.5,55.5,Even,,53.8,46.2,Even,,55,45,Even,,62.5,37.5,Even,,59.1,40.9,Even,,41.2,58.8,Even,,36.1,63.9,Even,,51.6,48.4,Even,,45.5,54.5,Even,,40,60,Even,,46.8,53.2,Even,,47.8,52.2,Even,,50.4,49.6,Even,,50.3,49.7,Even,,49.9,50.1,Even,,51.5,48.5,Even,,44.1,55.9,Even,,47.3,52.7,Even,,45,55,Even,,53.7,46.3,Even,,47.3,52.7,Even,,50.7,49.3,Even,,47,53,Even,,50.9,49.1,Even,,59.7,40.3,8.5,Even,,56.2,43.8,Even,,,128838731,65853625,62985106,126852914,65918507,60934407,129449751,69499428,59950323,121066687,59027115,62039572,101472222,51009810,50462412,2883443,86598880,47400125,39198755,8085402,84014356,44909806,39104550,19743821,90696073,41809476,48886597,92032824,37577352,54455472,79383345,35480115,43903230,5719850,79980515,40831881,39148634,76341932,29173222,47168710,63055622,31271839,31783783,9901118,70515526,43339772,27175754,68445389,34337232,34108157,387094,61607208,26028028,35579180,414771,61450619,27375090,34075529,46509620,24179347,21991292,1175946,1157328,47630845,25612916,22017929,49662792,27314449,22348343,44441005,27757431,16683574,38583045,22821513,15761532,884895,36444447,15015863,21428584,24103409,8384341,15719068,4833821,25306382,9140256,16166126,914191,17680561,9130861,8549700,590190,9782221,6294284,3487937,4120609,900742,14087314,6408979,7678335,420852,12714437,5083880,7630557,402810,13599796,6370932,7228864,13622945,6510807,7112138,10744697,5553898,5190799,1026595,10981796,5538163,5443633,9771385,4914482,4856903,8897604,4444267,4453337,306135,8320950,4286808,4034142,6431149,2833710,3597439,5722770,2708980,3013790,4017544,1806227,2211317,3237937,1381944,1855993,851844,590946,3175808,1835140,1340668,872703,2992361,1605943,1386418,155799,2582588,1222353,1360235,291475,2639727,1339570,1300157,62054,2405228,1129645,1275583,1500506,763291,737215,1176842,702735,474107,99817,1144773,642806,501967,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,35.6,64.4,R+,15,38.8,61.2,R+,13,39.1,60.9,R+,15,37.1,62.9,R+,12,42.4,57.6,R+,8,46.3,53.7,R+,8,46.2,53.8,R+,7,40.3,59.7,R+,6,38.7,61.3,R+,2,49.3,50.7,D+,5,56.7,43.3,D+,6,26.1,73.9,R+,12,30.5,69.5,R+,31,57.2,42.8,D+,7,58.9,41.1,D+,17,64.8,35.2,D+,20,81.7,18.3,D+,28,85.6,14.4,D+,31,87.1,12.9,D+,25,85.7,14.3,D+,27,51.4,48.6,D+,10,62.4,37.6,D+,26,77.6,22.4,D+,26,74.4,25.6,D+,29,78,22,D+,38,63.6,36.4,D+,17,70.1,29.9,D+,22,67.2,32.8,D+,17,60.9,39.1,D+,11,61.8,38.2,D+,12,60,40,D+,8,46.8,53.2,D+,3,48.7,51.3,D+,1,Civil War,,,,64.1,35.9,D+,10,50.6,49.4,D+,3,59,41,D+,8,54.4,45.6,D+,7,55.3,44.7,D+,4,100,0,,D+,40,89.9,10.1,D+,34,,2047802,729547,1318255,2051621,795696,1255925,2080025,813479,1266546,1870327,693933,1176394,1640011,695602,944409,18349,1431209,662165,769044,92149,1494363,690080,804283,183109,1365082,549506,815576,1424748,551899,872849,1290922,636730,654192,16481,1163240,659170,504070,985624,256923,728701,343502,196579,146923,691425,689817,210732,479085,556284,318303,237981,8189,476538,280844,195694,20333,424306,275075,149231,212373,0,40930,171443,1522,243458,198918,44540,292910,250726,42184,273554,238196,35358,242585,207910,34675,2030,248521,127796,120725,153753,113138,40615,8040,257149,160560,96589,2402,128071,99409,28662,1916,92155,82438,9717,22680,3029,99952,74391,25561,1450,102269,79797,22472,853,152741,97129,55612,185971,130298,55673,147319,138135,9184,84984,174491,117314,57177,152180,92736,59444,147480,91130,56350,4422,171697,102989,68708,169716,79444,90272,149588,72921,76667,0,,,13618,13618,0,48669,27835,46739,46739,0,28552,41942,26881,15061,0,61655,31173,30482,0,63403,37401,26002,0,62511,33996,28515,37296,20638,16658,14291,14286,5,0,18614,16736,1878,,-15.49,-13.18,-14.58,-11.65,-7.86,-8.47,-7.28,-5.84,-2.09,4.63,5.61,-12.15,7.63,-30.91,7.05,16.69,20.28,-52.37,27.93,30.6,24.62,26.56,10.22,38.8,26.32,25.98,25.11,28.93,38.04,16.74,22.27,42.08,16.8,10.64,11.84,8.46,2.75,1.41,#DIV/0!,57.32,42.22,10.42,3.23,8.24,7.42,4.47,40.25,33.76
Alaska,41.6,58.4,R+,9,42.7,57.3,R+,9,38.9,61.1,R+,15,36.8,63.2,R+,12,32.1,67.9,R+,18,39.6,60.4,R+,15,43.4,56.6,R+,10,37.8,62.2,R+,8,30.9,69.1,R+,10,32.7,67.3,R+,12,38.1,61.9,R+,13,37.3,62.7,R+,1,65.9,34.1,D+,4,49.1,50.9,R+,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279841,116454,163387,287316,122640,164676,317435,123594,193841,301914,111025,190889,246402,79004,167398,28747,203126,80380,122746,26333,180294,78294,102000,73481,191835,72584,119251,200384,62007,138377,127954,41842,86112,11155,115613,44058,71555,88316,32967,55349,73011,35411,37600,10024,67259,44329,22930,60762,29809,30953,0,0,,,,0,,,0,,,,,0,,,0,,,0,,,0,,,,0,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,0,,,0,,,,0,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,,0,,0,0,,,,0,,,,-9.5,-9.28,-14.75,-11.98,-18.21,-15.16,-10.03,-8.26,-9.89,-11.99,-12.94,-0.89,-1.09,4.45,-1.11,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Arizona,48.1,51.9,R+,3,45.4,54.6,R+,7,45.7,54.3,R+,8,44.7,55.3,R+,4,46.7,53.3,R+,4,51.2,48.8,R+,4,48.7,51.3,R+,5,39.3,60.7,R+,7,32.9,67.1,R+,8,31.8,68.2,R+,13,41.4,58.6,R+,10,33,67,R+,5,49.5,50.5,R+,12,44.4,55.6,R+,6,38.9,61.1,R+,3,41.7,58.3,R+,3,59,41,D+,5,63.8,36.2,D+,9,72.2,27.8,D+,10,68.7,31.3,D+,10,42.3,57.7,D+,1,44.4,55.6,D+,8,61.8,38.2,D+,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2413568,1161167,1252401,2258886,1025232,1233654,2264818,1034707,1230111,1997818,893524,1104294,1466993,685341,781652,45645,1275361,653288,622073,112072,1115136,543050,572086,353741,1156570,454029,702541,1015270,333854,681416,776531,246843,529688,76952,714244,295602,418642,601352,198540,402812,437235,170514,266721,46573,480288,237753,242535,398022,176781,221241,469,289870,112880,176990,303,260570,108528,152042,172848,95251,77597,0,3310,137213,80926,56287,149297,95267,54030,120155,86722,33433,115368,79264,36104,2618,91070,38537,52533,56751,26235,30516,17210,66562,29546,37016,0,53694,33170,20524,3174,13345,10324,3021,6949,3163,0,,,,0,,,,0,,,0,,,0,,,,0,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,,0,,0,0,,,,0,,,,-3,-6.58,-8,-4.03,-3.55,-3.51,-4.76,-6.84,-7.95,-12.91,-9.67,-5.2,-10.6,-11.96,-5.75,-3.31,-2.9,2.74,5.2,8.81,9.72,9.56,1.11,11.44,8.27,10.13,13.02,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Arkansas,35.7,64.3,R+,15,37.8,62.2,R+,14,39.8,60.2,R+,14,45.1,54.9,R+,4,47.2,52.8,R+,3,59.4,40.6,D+,5,60,40,D+,7,42.8,57.2,R+,3,38.8,61.2,R+,2,49.7,50.3,D+,5,65,35,D+,14,30.9,69.1,R+,7,56.4,43.6,R+,5,53.8,46.2,D+,4,53.4,46.6,D+,11,56.1,43.9,D+,12,70.1,29.9,D+,16,79,21,D+,24,82.1,17.9,D+,20,86.9,13.1,D+,28,60.5,39.5,D+,19,60.2,39.8,D+,24,69.7,30.3,D+,18,60.6,39.4,D+,15,57.9,42.1,D+,18,64.4,35.6,D+,18,74.6,25.4,D+,27,59,41,D+,9,58.7,41.3,D+,8,59.2,40.8,D+,9,60,40,D+,9,47.8,52.2,D+,4,46.3,53.7,R+,1,Civil War,,,,62.2,37.8,D+,9,55.1,44.9,D+,8,63,37,D+,12,56.4,43.6,D+,9,64.1,35.9,D+,13,,,,,,,,,,,1065366,380494,684872,1042153,394409,647744,1060327,422310,638017,1042851,469953,572898,895708,422768,472940,13421,800587,475171,325416,69884,843147,505823,337324,99132,815815,349237,466578,873420,338646,534774,801205,398041,403164,22468,768367,499614,268753,644650,198899,445751,373963,184901,189062,235627,557461,314197,243264,399557,215049,184508,28952,399564,213277,186287,7008,403455,226300,177155,200618,149659,50959,40068,751,212516,148965,63551,200743,158622,42121,178804,146765,32039,218069,189602,28467,1269,196947,119196,77751,125359,84795,40564,13173,178526,107409,71117,5111,161090,112211,48879,6999,94399,68814,25585,21644,8153,143639,87015,56624,5842,111294,64434,46860,1816,125942,81142,44800,147615,110103,37512,134906,87834,47072,11831,145814,86062,59752,123932,72734,51198,102150,60489,41661,4079,96735,58086,38649,79300,37927,41373,41190,19078,22112,0,,,5357,5357,0,28732,20063,21910,21910,0,10732,19577,12173,7404,0,16888,9301,7587,0,15150,9546,5604,0,11839,6679,5160,3714,2380,1334,0,,,,0,,,,-15.4,-14.12,-13.86,-3.69,-3.07,4.62,6.54,-3.29,-2.06,4.99,13.97,-7.36,-0.15,-5.1,3.65,11.13,11.54,22.23,16.32,24.02,19.62,27.8,19.32,32.86,24.05,18.01,8.55,15.08,17.91,17.58,26.8,13.42,8.59,8.39,9.27,8.53,3.76,-1.02,#DIV/0!,57.32,42.22,8.51,7.74,12.26,9.45,13.21,#DIV/0!,#DIV/0!
California,66.1,33.9,D+,15,61.9,38.1,D+,10,62.3,37.7,D+,9,55,45,D+,6,56.2,43.8,D+,6,57.2,42.8,D+,2,58.5,41.5,D+,5,48.2,51.8,D+,2,41.8,58.2,D+,1,40.5,59.5,R+,4,49.1,50.9,R+,2,43,57,D+,5,59.2,40.8,R+,2,49.7,50.3,R+,0,44.4,55.6,D+,2,42.7,57.3,R+,2,56.8,43.2,D+,3,58.1,41.9,D+,3,67.9,32.1,D+,5,61,39,D+,2,34.6,65.4,R+,7,26.8,73.2,R+,9,50.2,49.8,R+,1,37.3,62.7,R+,8,30.3,69.7,R+,10,43.1,56.9,R+,4,49.7,50.3,D+,2,48.5,51.5,R+,2,46.6,53.4,R+,4,50,50,D+,0,49.1,50.9,R+,2,43,57,R+,1,49.8,50.2,D+,2,41.4,58.6,R+,4,53.1,46.9,W+,1,,,,,,,,,,,,,,,,,,,,,,,,,,,13237598,8753788,4483810,12694243,7854285,4839958,13286254,8274473,5011781,12255311,6745485,5509826,10428632,5861203,4567429,418707,8948215,5119835,3828380,697847,8751899,5121325,3630574,2296006,9757150,4702233,5054917,9389528,3922519,5467009,7608519,3083661,4524858,739833,7624528,3742284,3882244,8077943,3475847,4602096,6711982,3244318,3467664,487270,7050985,4171877,2879108,6483821,3224099,3259722,22757,5447803,2420135,3027668,18552,5293233,2257646,3035587,3808403,1913134,1895269,1228,190381,3501529,1988564,1512965,3229037,1877618,1351419,2603267,1766836,836431,2172059,1324157,847902,63299,1776688,614365,1162323,838764,105514,733250,424649,854183,229191,624992,64076,928805,466289,462516,42898,287350,283436,3914,283610,79201,341890,127492,214398,28659,294630,89404,205226,29535,289740,124985,164755,291454,144766,146688,236201,118174,118027,25311,242545,117729,124816,191657,89288,102369,160708,80426,80282,3381,155718,76460,79258,94724,40717,54007,108656,54068,54588,105890,43837,62053,76732,37999,38733,33969,9111,74046,53342,20704,36195,76693,40721,35972,61,0,,,,0,,,,0,,,0,,0,0,,,,0,,,,15.01,9.91,8.59,6.29,5.93,2.48,5.06,2.09,0.95,-4.17,-1.97,4.81,-1.26,-2.29,-0.44,2.18,-1.9,-2.13,3.02,3.15,5.41,1.81,-6.62,-22.21,-9.29,-1.44,34.29,-8.2,-9.64,-3.71,1.88,-1.66,-1.89,-3.71,0.1,-2.42,-1.08,2.42,-3.56,6.84,14.25,-0.57,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Colorado,52.7,47.3,D+,2,52.7,47.3,D+,1,54.6,45.4,D+,1,47.6,52.4,R+,1,45.5,54.5,R+,5,49.2,50.8,R+,5,52.8,47.2,R+,1,46,54,R+,0,35.6,64.4,R+,5,36.1,63.9,R+,9,44.1,55.9,R+,7,35.6,64.4,R+,3,61.6,38.4,D+,0,45.1,54.9,R+,5,40.1,59.9,R+,2,39.3,60.7,R+,5,46.6,53.4,R+,7,48.7,51.3,R+,6,61.9,38.1,R+,1,57,43,R+,2,34.4,65.6,R+,7,37.7,62.3,D+,2,63.6,36.4,D+,12,50.6,49.4,D+,5,42.6,57.4,D+,3,56.9,43.1,D+,10,86,14,D+,38,42.5,57.5,R+,8,43.4,56.6,R+,7,47.3,52.7,R+,3,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2541354,1338870,1202484,2508345,1323102,1185243,2362262,1288633,1073629,2102981,1001725,1101256,1621972,738227,883745,91434,1363000,671152,691848,99629,1192531,629681,562850,366010,1349630,621453,728177,1276792,454974,821818,1020237,367973,652264,130633,1044720,460353,584367,927169,329980,597189,744519,335174,409345,60813,772791,476024,296767,732871,330629,402242,3375,658476,263997,394479,4598,625286,245504,379782,507002,267288,239714,0,6115,503062,234331,268731,545130,265554,279576,476288,295021,181267,440494,250877,189617,13591,387003,133131,253872,270409,75238,195171,69945,278184,104936,173248,8046,281124,178816,102308,10049,172618,114232,58386,72306,16418,250337,126644,123693,7960,234766,100105,134661,4304,215805,122733,93072,187276,161005,26271,38620,0,38620,53584,88321,37549,50772,63807,27723,36084,52097,24647,27450,1435,0,,,0,,,0,,,0,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,,0,,0,0,,,,0,,,,1.57,0.78,0.86,-1.12,-4.76,-5.49,-0.65,-0.05,-5.2,-8.63,-6.99,-2.62,-4.58,0.14,-5.05,-2.16,-5.29,0.35,-7.19,-6.29,-0.52,-2.2,-6.8,-6.96,1.6,11.96,1.83,5.09,2.66,10.03,38.18,-51.69,-7.92,-6.85,-2.64,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Connecticut,57.1,42.9,D+,6,58.8,41.2,D+,7,61.3,38.7,D+,8,55.3,44.7,D+,7,59.3,40.7,D+,9,60.4,39.6,D+,6,54.1,45.9,D+,1,47.4,52.6,D+,1,39,61,R+,2,44.4,55.6,R+,0,47.4,52.6,R+,4,40.7,59.3,D+,2,67.9,32.1,D+,6,53.7,46.3,D+,4,36.3,63.7,R+,6,44.1,55.9,R+,0,52.7,47.3,R+,1,53.6,46.4,R+,1,57.8,42.2,R+,5,49.4,50.6,R+,10,45.9,54.1,D+,5,34.5,65.5,R+,2,48.4,51.6,R+,3,37.7,62.3,R+,8,39.6,60.4,R+,0,41.9,58.1,R+,5,34,66,R+,14,50.1,49.9,R+,0,50.5,49.5,D+,0,49,51,R+,1,51.2,48.8,R+,0,47.6,52.4,D+,4,48.5,51.5,D+,1,48.6,51.4,D+,4,52.3,47.7,W+,1,47.2,52.8,W+,0,47.6,52.4,W+,3,44.4,55.6,W+,3,50.6,49.4,W+,0,38.3,61.7,11.6,R+,21,24.3,75.7,R+,32,,1570787,897572,673215,1540008,905109,634899,1627201,997773,629428,1551314,857488,693826,1377109,816015,561094,64452,1218849,735740,483109,139523,1260631,682318,578313,348771,1426825,676584,750241,1460474,569597,890877,1218942,541732,677210,171807,1367156,647895,719261,1366261,555498,810763,1178282,621561,556721,76650,1217265,826269,390996,1222868,657055,565813,15,1116916,405079,711837,205,1092661,481649,611012,861051,423297,437754,0,13713,825673,435146,390527,779440,417621,361819,660814,382129,278685,570052,281632,288420,20480,548726,252085,296641,356506,110184,246322,42416,349959,120721,229238,10350,206300,99786,106514,5179,142885,74561,68324,34129,10056,181170,68255,112915,5113,183998,72909,111089,4543,176586,74014,102572,167025,56740,110285,159427,82395,77032,809,149504,74920,74584,133080,67182,65898,131482,64411,67071,868,120960,61927,59033,96009,45695,50314,98632,47844,50788,86981,42288,44693,60850,17364,43486,16558,3337,77714,34997,42717,2615,63608,33249,30359,3161,57369,27051,30318,5005,62673,29841,32832,1943,56879,25281,31598,38093,19294,18799,29424,11269,18155,3409,18277,4448,13829,,6.03,6.81,7.63,6.52,8.99,5.63,0.67,1.32,-1.83,-0.25,-3.66,2.44,3.16,6.42,3.56,-5.98,-0.47,-3.21,-1.07,-1.42,-4.63,-9.74,4.74,-3.88,-1.62,-3.27,-12.16,-7.82,-0.36,-4.93,-13.82,-0.01,-0.32,0.19,-0.96,-0.32,3.53,1.17,3.66,-14.14,-12.75,-1.4,-0.18,-3.13,-2.52,-0.22,-21.41,-31.81
