Rank,Pollster,Pollster Rating ID,Polls Analyzed,NCPP/AAPOR/Roper,Banned by 538,Predictive Plus-Minus,538 Grade,Mean-Reverted Bias,Races Called Correctly,Misses Outside MOE,Simple Average Error,Simple Expected Error,Simple Plus-Minus,Advanced Plus-Minus,Mean-Reverted Advanced Plus Minus,# of Polls for Bias Analysis,Bias,House Effect,Average Distance from Polling Average (ADPA),Herding Penalty
1,Selzer & Co.,304,50,yes,no,-1.164872371474521,A+,0.1068463875508721,0.78,0.24,4.562133331298828,5.959977154458428,-1.39298948255301,-1.623991286805722,-1.006764054913049,33,0.2013049270167495,-0.2436310533715819,5.339088853326275,0.0
2,ABC News/The Washington Post,3,82,yes,no,-0.9919601103089348,A+,0.919806741264664,0.7378048780487805,0.0853658536585366,3.053507269882574,4.972745084419228,-1.914383473930063,-1.328716976870906,-0.980676124300166,77,1.256718524090656,1.231279279930035,3.827491674106647,0.1323492717694392
3,Siena College/The New York Times Upshot,448,83,yes,no,-0.9544521038153676,A+,1.14294147140295,0.7289156626506024,0.2048192771084337,4.352681654045381,5.364920020225804,-1.007384025573833,-1.309740901950579,-1.055391384869558,82,1.422586092134801,0.2312039975053743,3.574593667720398,0.225521742481611
4,IBD/TIPP,144,31,yes,no,-0.9384244225719548,A+,-0.8323505085998764,0.8064516129032258,0.032258064516129,2.085001545567666,4.009343275206846,-1.919487389032589,-1.512109181475797,-0.7926143837060662,31,-1.587915728169103,-1.814818206485563,3.704195219998842,0.0994545884761387
5,Field Research Corp. (Field Poll),94,25,yes,no,-0.9066947881490728,A/B,-0.68286791423325,1.0,0.2,4.103997268676758,5.990497434167947,-1.881645824884602,-2.473642991473191,-0.92313398496665,18,-2.45507632361518,0.725440897248749,4.752570927914591,0.0
6,SurveyUSA,325,834,yes,no,-0.8752330868681902,A,0.0484691218432057,0.8932853717026379,0.1954436450839329,4.704052174977547,5.683743839377613,-0.9748373237934712,-1.032314128557589,-0.9872966045424652,673,0.0512701689222769,-0.5315926826248129,4.945520069959565,0.1361415019183604
7,Marquette University Law School,195,13,yes,no,-0.8697002861718625,A/B,0.3831011403830225,0.8076923076923077,0.0769230769230769,2.932985892662635,6.054269110656587,-3.116428877387361,-3.454291736544523,-1.235316783275665,9,1.407818264431424,-0.5141475002058183,4.347614329091975,0.1538779277881331
8,Siena College,305,55,yes,no,-0.8293660466608428,A,-0.5366020204415759,0.8727272727272727,0.2545454545454545,5.02008486661044,5.578377511654227,-0.5534383044371974,-1.225251368148029,-0.8036684444001194,50,-0.844322738647461,-1.053552798344115,4.695373958576219,0.1790445736095319
9,Landmark Communications,166,48,no,no,-0.786005596999762,A,1.414304425825647,0.7708333333333334,0.1666666666666667,4.448425730069478,5.431063119323992,-0.9777830486479258,-1.360030188032199,-0.9120955116881638,42,2.192652974809919,-1.707165289556037,4.390866224150755,0.0583615807178807
10,Research & Polling Inc.,280,40,no,no,-0.7513833843367311,A,-0.6080981815445845,0.875,0.1,4.338134384155273,5.568008056561508,-1.225019331799646,-1.767130072846286,-1.045516722924715,39,-1.030772771590795,0.4793430099621862,4.64207646394386,0.3149313028156319
11,AtlasIntel,546,22,yes,no,-0.7499685151956839,A,0.4354616403579712,0.75,0.2272727272727273,4.584125345403498,5.225420256679696,-0.6364405706696089,-1.023215482173971,-0.5627685151956839,14,0.9953408922467912,-1.740201084411755,6.067670031564372,0.0
12,MassINC Polling Group,198,20,yes,no,-0.7440584999606555,A/B,-0.7850465739065724,0.85,0.2,4.52824182510376,6.208162293460438,-1.675066127750088,-1.257475622479393,-0.5865806232527697,14,-2.180184500558036,-1.995397342239822,5.79614435261604,0.0812833459930051
13,Monmouth University,215,120,yes,no,-0.7076238531971101,A,2.087707895122895,0.7833333333333333,0.2666666666666667,5.895935599009196,6.281559100011743,-0.3807691603959558,-1.036981998571407,-0.8643483465169622,83,2.741045687572066,-0.1174755194307274,4.889776770866244,0.2711130049671029
14,Marist College,183,189,yes,no,-0.669456194648838,A,0.1069875574214711,0.8333333333333334,0.2698412698412698,5.503499348958333,6.156418871325839,-0.6480651817609135,-0.7272975370227955,-0.637006178226108,121,0.1314358671834646,0.0296862598112305,4.997716942331857,0.0219156245512363
15,Fox News/Beacon Research/Shaw & Co. Research,103,46,yes,no,-0.6526828278459328,A,1.807602334432939,0.75,0.3695652173913043,5.56253603230352,5.996276726177782,-0.428886353267673,-0.7697429920479961,-0.5150206567139288,31,3.073489773658014,0.8663459100829412,4.616863057440015,0.0
16,Stockton University,317,11,yes,no,-0.5988865336566043,A/B,0.8586874339554346,0.9090909090909092,0.1818181818181818,4.268058083274147,5.3663269154552,-1.093414491574463,-1.443419811806566,-0.4592542556950052,11,2.698824102228338,0.7386111683315703,6.07582560725001,0.0
17,Data Orbital,73,13,yes,no,-0.5601375650091485,A/B,0.5515915781817705,0.9615384615384616,0.0,2.397174541766827,4.830461730624204,-2.428432848250788,-1.487450615111105,-0.5659004369636715,13,1.449840252216046,-1.198510417111883,4.046261810032384,0.4437168583600935
18,University of North Florida,360,10,yes,no,-0.5472183790769786,A/B,0.8902943716826435,0.4,0.3,4.059848022460938,6.303158922207842,-2.238456559140316,-1.393749348566706,-0.4314608606122858,7,3.979950496128627,1.022124882062393,3.95182601196337,0.0666741928082798
