year,state,dem,rep
2016,AK,41.6,58.4
2016,AL,35.6,64.4
2016,AR,35.7,64.3
2016,AZ,48.1,51.9
2016,CA,66.1,33.9
2016,CO,52.7,47.3
2016,CT,57.1,42.9
2016,DC,95.7,4.3
2016,DE,56.0,44.0
2016,FL,49.4,50.6
2016,GA,47.3,52.7
2016,HI,67.4,32.6
2016,IA,44.9,55.1
2016,ID,31.7,68.3
2016,IL,59.0,41.0
2016,IN,39.9,60.1
2016,KS,38.9,61.1
2016,KY,34.3,65.7
2016,LA,39.8,60.2
2016,MA,64.7,35.3
2016,MD,64.0,36.0
2016,ME,51.6,48.4
2016,MI,49.9,50.1
2016,MN,50.8,49.2
2016,MO,40.2,59.8
2016,MS,40.9,59.1
2016,MT,38.9,61.1
2016,NC,48.1,51.9
2016,ND,30.2,69.8
2016,NE,36.5,63.5
2016,NH,50.2,49.8
2016,NJ,57.3,42.7
2016,NM,54.7,45.3
2016,NV,51.3,48.7
2016,NY,61.8,38.2
2016,OH,45.7,54.3
2016,OK,30.7,69.3
2016,OR,56.2,43.8
2016,PA,49.6,50.4
2016,RI,58.3,41.7
2016,SC,42.5,57.5
2016,SD,34.0,66.0
2016,TN,36.4,63.6
2016,TX,45.3,54.7
2016,US,51.1,48.9
2016,UT,37.6,62.4
2016,VA,52.8,47.2
2016,VT,65.2,34.8
2016,WA,58.8,41.2
2016,WI,49.6,50.4
2016,WV,27.8,72.2
2016,WY,24.3,75.7
2012,AK,42.7,57.3
2012,AL,38.8,61.2
2012,AR,37.8,62.2
2012,AZ,45.4,54.6
2012,CA,61.9,38.1
2012,CO,52.7,47.3
2012,CT,58.8,41.2
2012,DC,92.6,7.4
2012,DE,59.4,40.6
2012,FL,50.4,49.6
2012,GA,46.0,54.0
2012,HI,71.7,28.3
2012,IA,53.0,47.0
2012,ID,33.6,66.4
2012,IL,58.6,41.4
2012,IN,44.8,55.2
2012,KS,38.9,61.1
2012,KY,38.5,61.5
2012,LA,41.3,58.7
2012,MA,61.8,38.2
