Congressional Dist.,ST,CD,ST_ID,CD_ID,FIPS,Total Vote,Margin,Margin (%),Clinton,Trump,Johnson,Stein,McMullin,Fuente,Castle
District 1,AL,1,1,901,1001,"305,940","89,270",29.18,33.79,62.96,2.01,0.43,0.00,0.00,0.00
District 2,AL,2,1,902,1002,"287,872","91,204",31.68,32.76,64.44,1.68,0.36,0.00,0.00,0.00
District 3,AL,3,1,903,1003,"291,317","95,175",32.67,32.03,64.70,1.98,0.42,0.00,0.00,0.00
District 4,AL,4,1,904,1004,"293,046","182,940",62.43,17.31,79.74,1.79,0.37,0.00,0.00,0.00
District 5,AL,5,1,905,1005,"314,750","103,411",32.85,30.87,63.72,3.25,0.63,0.00,0.00,0.00
District 6,AL,6,1,906,1006,"335,267","147,377",43.96,25.69,69.64,2.60,0.46,0.00,0.00,0.00
District 7,AL,7,1,907,1007,"295,180","120,669",40.88,69.31,28.43,1.20,0.40,0.00,0.00,0.00
At Large,AK,1,2,901,2001,"318,608","46,933",14.73,36.55,51.28,5.88,1.80,0.00,0.39,1.21
District 1,AZ,1,4,901,4001,"291,816","3,054",1.05,45.53,46.58,4.02,1.52,0.80,0.00,0.05
District 2,AZ,2,4,902,4002,"322,180","15,480",4.80,48.63,43.83,4.03,1.55,0.62,0.00,0.04
District 3,AZ,3,4,903,4003,"211,943","62,514",29.50,61.56,32.06,3.40,1.57,0.31,0.00,0.03
District 4,AZ,4,4,904,4004,"303,097","119,851",39.54,27.12,66.66,3.62,1.08,0.47,0.00,0.04
District 5,AZ,5,4,905,4005,"341,437","70,152",20.55,35.52,56.07,4.64,1.04,1.47,0.00,0.06
District 6,AZ,6,4,906,4006,"343,997","33,761",9.81,41.74,51.55,4.04,1.03,0.42,0.00,0.03
District 7,AZ,7,4,907,4007,"167,183","80,726",48.29,70.56,22.27,3.73,1.78,0.33,0.00,0.03
District 8,AZ,8,4,908,4008,"332,767","69,171",20.79,36.36,57.15,3.82,1.04,0.55,0.00,0.03
District 9,AZ,9,4,909,4009,"290,237","46,035",15.86,53.46,37.60,5.09,1.66,0.76,0.00,0.04
District 1,AR,1,5,901,5001,"260,717","90,750",34.81,30.18,64.99,2.11,0.62,0.86,0.00,0.41
District 2,AR,2,5,902,5002,"306,974","32,899",10.72,41.66,52.38,2.81,0.87,1.27,0.00,0.35
District 3,AR,3,5,903,5003,"292,163","91,840",31.43,30.49,61.92,3.62,1.19,1.72,0.00,0.49
District 4,AR,4,5,904,5004,"270,781","88,889",32.83,31.33,64.16,1.89,0.62,0.77,0.00,0.39
District 1,CA,1,6,901,6001,"321,299","61,631",19.18,35.71,54.89,4.39,2.33,0.43,0.00,0.00
District 2,CA,2,6,902,6002,"353,400","157,612",44.60,67.39,22.79,3.46,3.62,0.24,0.00,0.00
District 3,CA,3,6,903,6003,"266,933","33,022",12.37,52.03,39.66,4.23,1.77,0.34,0.00,0.00
District 4,CA,4,6,904,6004,"363,031","52,134",14.36,38.23,52.59,4.86,1.47,0.48,0.00,0.00
District 5,CA,5,6,905,6005,"311,061","136,862",44.00,67.82,23.82,3.59,2.47,0.26,0.00,0.00
District 6,CA,6,6,906,6006,"248,109","109,138",43.99,67.99,24.00,3.77,2.01,0.39,0.00,0.00
District 7,CA,7,6,907,6007,"309,434","34,817",11.25,51.41,40.15,4.77,1.57,0.39,0.00,0.00
District 8,CA,8,6,908,6008,"235,235","35,233",14.98,39.21,54.19,3.49,1.50,0.28,0.00,0.00
District 9,CA,9,6,909,6009,"243,577","44,235",18.16,55.31,37.15,3.50,1.44,0.28,0.00,0.00
District 10,CA,10,6,910,6010,"245,251","7,190",2.93,47.44,44.50,3.82,1.46,0.31,0.00,0.00
District 11,CA,11,6,911,6011,"320,318","152,690",47.67,69.79,22.12,3.43,1.91,0.29,0.00,0.00
District 12,CA,12,6,912,6012,"363,385","278,063",76.52,85.09,8.57,2.19,2.44,0.09,0.00,0.00
District 13,CA,13,6,913,6013,"339,801","269,183",79.22,85.91,6.69,1.65,3.54,0.20,0.00,0.00
District 14,CA,14,6,914,6014,"300,721","174,779",58.12,76.15,18.03,2.70,1.74,0.22,0.00,0.00
District 15,CA,15,6,915,6015,"289,576","130,156",44.95,68.71,23.76,3.66,1.74,0.21,0.00,0.00
District 16,CA,16,6,916,6016,"172,972","36,691",21.21,56.95,35.74,3.21,1.83,0.31,0.00,0.00
District 17,CA,17,6,917,6017,"251,999","133,072",52.81,73.08,20.27,3.30,1.88,0.28,0.00,0.00
District 18,CA,18,6,918,6018,"339,159","178,622",52.67,72.67,20.00,4.10,1.88,0.36,0.00,0.00
District 19,CA,19,6,919,6019,"260,592","132,815",50.97,72.26,21.29,3.31,1.74,0.27,0.00,0.00
District 20,CA,20,6,920,6020,"260,676","120,919",46.39,69.24,22.86,3.23,2.58,0.26,0.00,0.00
District 21,CA,21,6,921,6021,"135,848","20,801",15.31,54.31,38.99,2.97,1.27,0.33,0.00,0.00
District 22,CA,22,6,922,6022,"245,804","22,797",9.27,41.62,50.89,3.51,1.34,0.29,0.00,0.00
District 23,CA,23,6,923,6023,"247,107","54,037",21.87,35.74,57.61,3.99,1.26,0.32,0.00,0.00
District 24,CA,24,6,924,6024,"320,657","63,092",19.68,55.19,35.52,4.19,2.10,0.45,0.00,0.00
District 25,CA,25,6,925,6025,"275,282","18,242",6.63,49.95,43.32,3.62,1.78,0.19,0.00,0.00
District 26,CA,26,6,926,6026,"298,778","63,824",21.36,56.59,35.23,3.78,1.79,0.39,0.00,0.00
District 27,CA,27,6,927,6027,"265,568","99,560",37.49,65.72,28.24,2.96,2.15,0.14,0.00,0.00
District 28,CA,28,6,928,6028,"290,333","144,038",49.61,71.86,22.25,2.43,2.56,0.13,0.00,0.00
District 29,CA,29,6,929,6029,"196,929","119,554",60.71,77.45,16.74,2.20,2.47,0.13,0.00,0.00
District 30,CA,30,6,930,6030,"303,957","131,448",43.25,68.81,25.56,2.72,2.05,0.14,0.00,0.00
District 31,CA,31,6,931,6031,"231,124","48,260",20.88,57.10,36.22,3.34,1.79,0.29,0.00,0.00
