Id,State,Year,Ev dem,Ev gop,Dem votes,Gop votes,Third votes,Other votes,Margin votes,Dem pct,Gop pct,Third pct,Other pct,Margin pct,Winner
563,AK,2016,0,3,116454,163387,18725,20042,46933,0.37,0.51,0.06,0.06,14.73,REP
562,AL,2016,0,9,729547,1318255,44467,31103,588708,0.34,0.62,0.02,0.01,27.73,REP
565,AR,2016,0,6,380494,684872,29829,35440,304378,0.34,0.61,0.03,0.03,26.92,REP
564,AZ,2016,0,11,1161167,1252401,106327,84762,91234,0.45,0.48,0.04,0.03,3.5,REP
566,CA,2016,55,0,8753792,4483814,478500,521787,4269978,0.61,0.31,0.03,0.04,29.99,DEM
567,CO,2016,9,0,1338870,1202484,144121,94772,136386,0.48,0.43,0.05,0.03,4.91,DEM
568,CT,2016,7,0,897572,673215,48676,25457,224357,0.55,0.41,0.03,0.02,13.64,DEM
612,DC,2016,3,0,282830,12723,4906,10809,270107,0.91,0.04,0.02,0.03,86.78,DEM
569,DE,2016,3,0,235603,185127,14757,8327,50476,0.53,0.42,0.03,0.02,11.37,DEM
570,FL,2016,0,29,4504975,4617886,207043,172843,112911,0.47,0.49,0.02,0.02,1.19,REP
571,GA,2016,0,16,1877963,2089104,125306,49074,211141,0.45,0.5,0.03,0.01,5.1,REP
572,HI,2016,3,0,266891,128847,15954,17245,138044,0.62,0.3,0.04,0.04,32.18,DEM
576,IA,2016,0,6,653669,800983,59186,52193,147314,0.42,0.51,0.04,0.03,9.41,REP
573,ID,2016,0,4,189765,409055,28331,63282,219290,0.27,0.59,0.04,0.09,31.76,REP
574,IL,2016,20,0,3090729,2146015,209596,148485,944714,0.55,0.38,0.04,0.03,16.89,DEM
575,IN,2016,0,11,1033126,1557286,133993,33560,524160,0.37,0.56,0.05,0.01,19.01,REP
577,KS,2016,0,6,427005,671018,55406,41326,244013,0.36,0.56,0.05,0.03,20.42,REP
578,KY,2016,0,8,628854,1202971,53752,38573,574117,0.33,0.63,0.03,0.02,29.84,REP
579,LA,2016,0,8,780154,1178638,37978,32262,398484,0.38,0.58,0.02,0.02,19.64,REP
582,MA,2016,11,0,1995196,1090893,138018,100939,904303,0.6,0.33,0.04,0.03,27.2,DEM
581,MD,2016,10,0,1677928,943169,79605,80744,734759,0.6,0.34,0.03,0.03,26.42,DEM
580,ME,2016,3,1,357735,335593,38105,16494,22142,0.48,0.45,0.05,0.02,2.96,DEM
583,MI,2016,0,16,2268839,2279543,172136,104024,10704,0.47,0.47,0.04,0.02,0.22,REP
584,MN,2016,10,0,1367825,1323232,112984,141192,44593,0.46,0.45,0.04,0.05,1.51,DEM
586,MO,2016,0,10,1071068,1594511,97359,65328,523443,0.38,0.56,0.03,0.02,18.51,REP
585,MS,2016,0,6,485131,700714,14435,10808,215583,0.4,0.58,0.01,0.01,17.8,REP
587,MT,2016,0,3,177709,279240,28037,16836,101531,0.35,0.56,0.06,0.03,20.23,REP
594,NC,2016,0,15,2189316,2362631,130126,59491,173315,0.46,0.5,0.03,0.01,3.66,REP
595,ND,2016,0,3,93758,216794,21434,12374,123036,0.27,0.63,0.06,0.04,35.73,REP
588,NE,2016,0,5,284494,495961,38946,24826,211467,0.34,0.59,0.05,0.03,25.05,REP
